ip,port,name
10.113.211.15,80,comm-dev-pool
10.113.211.16,80,comm-dev-pool
10.113.211.15,80,comm-dev-pool
10.113.211.16,80,comm-dev-pool
10.113.62.206,80,knova-prod-kb-pool2
10.113.62.207,80,knova-prod-kb-pool2
10.113.63.131,8443,ssend-https-pool
10.113.63.131,2222,ssend-sftp-pool
10.113.63.131,8443,ssend-https-pool
10.113.63.131,2222,ssend-sftp-pool
10.113.62.37,80,w-prod-pool
10.113.62.38,80,w-prod-pool
10.113.62.37,80,w-prod-pool
10.113.62.38,80,w-prod-pool
10.113.78.21,80,www-pool
10.113.78.22,80,www-pool
10.113.78.23,80,www-pool
10.113.78.24,80,www-pool
10.113.78.21,80,www-pool
10.113.78.22,80,www-pool
10.113.78.23,80,www-pool
10.113.78.24,80,www-pool
10.113.78.21,80,www-pool
10.113.78.22,80,www-pool
10.113.78.23,80,www-pool
10.113.78.24,80,www-pool
10.113.78.21,80,www-pool
10.113.78.22,80,www-pool
10.113.78.23,80,www-pool
10.113.78.24,80,www-pool
10.113.54.41,80,wwwa-stage-web-pool-1a
10.113.54.42,80,wwwa-stage-web-pool-1a
10.113.54.43,80,wwwa-stage-web-pool-1a
10.113.54.44,80,wwwa-stage-web-pool-1a
10.113.54.45,80,wwwa-stage-web-pool-1a
10.113.54.46,80,wwwa-stage-web-pool-1a
10.113.76.65,7031,prod-Account-pool
10.113.76.66,7031,prod-Account-pool
10.113.76.113,80,portal-prod-webgate-pool
10.113.76.116,80,portal-prod-webgate-pool
10.113.76.117,80,portal-prod-webgate-pool
10.113.76.118,80,portal-prod-webgate-pool
10.113.76.154,7778,oracledisco-prod-pool
10.113.76.160,7778,oracledisco-prod-pool
10.113.76.162,7778,oracledisco-prod-pool
10.113.76.91,7777,prodsoa-pool
10.113.76.92,7777,prodsoa-pool
10.113.76.240,8211,s2-prod-admn2-pool
10.113.76.241,8211,s2-prod-admn2-pool
10.113.76.173,8000,oraclereport-apps-pool
10.113.76.174,8000,oraclereport-apps-pool
10.113.76.175,8000,oraclereport-apps-pool
10.113.76.75,7011,prod-License-pool
10.113.76.76,7011,prod-License-pool
10.113.76.77,7015,prod-OEM-pool
10.113.76.78,7015,prod-OEM-pool
10.113.76.79,7019,prod-Support-pool
10.113.76.80,7019,prod-Support-pool
10.113.76.145,7007,portal-prod-licn-1-pool
