name,lb_method,name,f5cluster_name
knova-prod-kb-pool,ROUND,ROBIN,knova-prod-int-kb-vip,sc9-prod-stage-dmz-1
askvmware-prod-pool,ROUND,ROBIN,askvmware-prod-ssl-vip,sc9-prod-stage-dmz-1
govirtual-prod-lamp-pool,ROUND,ROBIN,govirtual-prod-lamp-vip-1,sc9-prod-stage-dmz-1
s2-stage-hyperic-pool,ROUND,ROBIN,s2-stage-hyperic-https-vip,sc9-prod-stage-dmz-1
webhost-prod-web-pool-1,ROUND,ROBIN,webhost-prod-web-vip-int,sc9-prod-stage-dmz-1
optimize-trainingA-pool,ROUND,ROBIN,optimize-trainingA-ssl-vip,sc9-prod-stage-dmz-1
Mylnssl-pool,ROUND,ROBIN,mylnssl-ssl-vip,sc9-prod-stage-dmz-1
Mylnssl-pool,ROUND,ROBIN,mylnssl-http-vip,sc9-prod-stage-dmz-1
communities-prod-pool,ROUND,ROBIN,communities-prod-vip,sc9-prod-stage-dmz-1
communities-prod-gbot-pool-1,ROUND,ROBIN,communities-prod-gbot-vip-1,sc9-prod-stage-dmz-1
Mylnweb-pool,ROUND,ROBIN,Mylnweb-vip,sc9-prod-stage-dmz-1
vmext-pool,ROUND,ROBIN,vmext-ssl-vip,sc9-prod-stage-dmz-1
vam-stage-img-tfr-proxy-pool,ROUND,ROBIN,vam-stage-img-tfr-proxy-vip,sc9-prod-stage-dmz-1
webhost-prod-web-pool-1,ROUND,ROBIN,webhost-prod-web-vip-1,sc9-prod-stage-dmz-1
sfdc-stage-wsv-int-pool,LEAST,CONNECTION_MEMBER,sfdc-stage-wsv-int-vip,sc9-prod-stage-dmz-1
eclipse-prod-techpubs-pool,ROUND,ROBIN,eclipse-prod-techpubs-vip-1,sc9-prod-stage-dmz-1
sfdc-prod-wsv-pool,LEAST,CONNECTION_MEMBER,sfdc-prod-wsv-vip,sc9-prod-stage-dmz-1
s3p-prod-web-pool-1,ROUND,ROBIN,s3p-prod-web-vip-1,sc9-prod-stage-dmz-1
s3p-prod-web-ssl-pool-1,ROUND,ROBIN,s3p-prod-web-ssl-vip-1,sc9-prod-stage-dmz-1
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-int-vip,sc9-prod-stage-dmz-1
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-int-ssl-vip,sc9-prod-stage-dmz-1
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-ext-vip,sc9-prod-stage-dmz-1
s2-prod-hyperic-web-pool,ROUND,ROBIN,s2-prod-hyperic-http-vip,sc9-prod-stage-dmz-1
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-ext-ssl-vip,sc9-prod-stage-dmz-1
pchmgmt-prod-web-pool,ROUND,ROBIN,pchmgmt-prod-web-vip,sc9-prod-stage-dmz-1
webhost-prod-web-ssl-pool-1,ROUND,ROBIN,webhost-prod-web-ssl-vip-int,sc9-prod-stage-dmz-1
pchmgmt-prod-web-pool,ROUND,ROBIN,pchmgmt-prod-web-ssl-vip,sc9-prod-stage-dmz-1
www-zimbra-prod-web-pool,LEAST,CONNECTION_MEMBER,www-zimbra-prod-vip,sc9-prod-stage-dmz-1
vam-prod-img-tfr-proxy-pool,ROUND,ROBIN,vam-prod-tfr-proxy-vip,sc9-prod-stage-dmz-1
vam-prod-img-mgr-proxy-pool,ROUND,ROBIN,vam-prod-img-mgr-proxy-vip,sc9-prod-stage-dmz-1
wwwb-prod-web-pool-1,LEAST,CONNECTION_MEMBER,wwwb-prod-web-vip-1,sc9-prod-stage-dmz-1
wwwapps-stage-web-pool-1,LEAST,CONNECTION_MEMBER,wwwapps-stage-web-vip-1,sc9-prod-stage-dmz-1
wwwapps-prod-web-pool-1,LEAST,CONNECTION_MEMBER,wwwapps-prod-web-vip-1,sc9-prod-stage-dmz-1
wwwa-prod-web-pool-1a,ROUND,ROBIN,wwwa-prod-web-vip-1a,sc9-prod-stage-dmz-1
wwwa-prod-web-pool-1,LEAST,CONNECTION_MEMBER,wwwa-prod-web-vip-1,sc9-prod-stage-dmz-1
thinapp-qr-pool-1,ROUND,ROBIN,thinapp-qr-vip-1,sc9-prod-stage-dmz-1
webhost-prod-web-ssl-pool-1,ROUND,ROBIN,webhost-prod-web-ssl-vip-1,sc9-prod-stage-dmz-1
webhost-prod-web-ftp-pool-1,ROUND,ROBIN,webhost-prod-web-ftp-vip-1,sc9-prod-stage-dmz-1
vmworld-prod-pool-1,ROUND,ROBIN,vmworld-prod-vip-1,sc9-prod-stage-dmz-1
eis-prod-locklizard-1-pool,ROUND,ROBIN,eis-prod-locklizard-ssl-vip,sc9-prod-stage-dmz-1
communities-prod-vip-2-pool,ROUND,ROBIN,communities-prod-vip-2,sc9-prod-stage-dmz-1
sfdc-prod-apache-pool,ROUND,ROBIN,sfdc-prod-apache-vip-1,sc9-prod-stage-dmz-1
job-referrals-pool,ROUND,ROBIN,job-referrals-vip,sc9-prod-stage-dmz-1
upload-ssh-pool,ROUND,ROBIN,upload-ssh-vip,sc9-prod-stage-dmz-1
optimize-trainingB-pool,ROUND,ROBIN,optimize-trainingB-ssl-vip,sc9-prod-stage-dmz-1
cpp-pool,ROUND,ROBIN,cpp-ssl-vip,sc9-prod-stage-dmz-1
cpb-pool,ROUND,ROBIN,cpb-ssl-vip,sc9-prod-stage-dmz-1
askvmware-prod-pool,ROUND,ROBIN,askvmware-prod-vip,sc9-prod-stage-dmz-1
sfdc-prod-apache-pool,ROUND,ROBIN,sfdc-prod-apache-ssl-vip,sc9-prod-stage-dmz-1
sc9-prod-gsa-int-443-pool,ROUND,ROBIN,sc9-prod-gsa-int-443-vip,sc9-prod-stage-dmz-1
vmworld-prod-vip-2-pool,PREDICTIVE,MEMBER,vmworld-prod-ssl-vip-2,sc9-prod-stage-dmz-1
