name,ip,port,f5cluster_name
knova-prod-int-kb-vip,10.113.63.135,80,sc9-prod-stage-dmz-1
askvmware-prod-ssl-vip,10.113.63.51,443,sc9-prod-stage-dmz-1
govirtual-prod-lamp-vip-1,10.113.63.27,80,sc9-prod-stage-dmz-1
s2-stage-hyperic-https-vip,10.113.54.36,443,sc9-prod-stage-dmz-1
webhost-prod-web-vip-int,10.113.63.215,80,sc9-prod-stage-dmz-1
optimize-trainingA-ssl-vip,10.113.63.43,443,sc9-prod-stage-dmz-1
mylnssl-ssl-vip,10.113.63.2,443,sc9-prod-stage-dmz-1
mylnssl-http-vip,10.113.63.2,80,sc9-prod-stage-dmz-1
communities-prod-vip,10.113.63.80,80,sc9-prod-stage-dmz-1
communities-prod-gbot-vip-1,10.113.63.9,80,sc9-prod-stage-dmz-1
Mylnweb-vip,10.113.63.1,80,sc9-prod-stage-dmz-1
vmext-ssl-vip,10.113.63.252,443,sc9-prod-stage-dmz-1
vam-stage-img-tfr-proxy-vip,10.113.54.29,80,sc9-prod-stage-dmz-1
webhost-prod-web-vip-1,10.113.63.15,80,sc9-prod-stage-dmz-1
sfdc-stage-wsv-int-vip,10.113.54.31,443,sc9-prod-stage-dmz-1
eclipse-prod-techpubs-vip-1,10.113.63.29,80,sc9-prod-stage-dmz-1
sfdc-prod-wsv-vip,10.113.63.31,443,sc9-prod-stage-dmz-1
s3p-prod-web-vip-1,10.113.63.11,80,sc9-prod-stage-dmz-1
s3p-prod-web-ssl-vip-1,10.113.63.11,443,sc9-prod-stage-dmz-1
portal-stage-int-vip,10.113.70.25,80,sc9-prod-stage-dmz-1
portal-stage-int-ssl-vip,10.113.70.25,443,sc9-prod-stage-dmz-1
portal-stage-ext-vip,10.113.70.120,80,sc9-prod-stage-dmz-1
s2-prod-hyperic-http-vip,10.113.63.85,80,sc9-prod-stage-dmz-1
portal-stage-ext-ssl-vip,10.113.70.120,443,sc9-prod-stage-dmz-1
pchmgmt-prod-web-vip,10.113.63.3,80,sc9-prod-stage-dmz-1
webhost-prod-web-ssl-vip-int,10.113.63.215,443,sc9-prod-stage-dmz-1
pchmgmt-prod-web-ssl-vip,10.113.63.3,443,sc9-prod-stage-dmz-1
www-zimbra-prod-vip,10.113.63.41,80,sc9-prod-stage-dmz-1
vam-prod-tfr-proxy-vip,10.113.63.18,80,sc9-prod-stage-dmz-1
vam-prod-img-mgr-proxy-vip,10.113.63.23,80,sc9-prod-stage-dmz-1
wwwb-prod-web-vip-1,10.113.62.150,80,sc9-prod-stage-dmz-1
wwwapps-stage-web-vip-1,10.113.54.25,80,sc9-prod-stage-dmz-1
wwwapps-prod-web-vip-1,10.113.62.130,80,sc9-prod-stage-dmz-1
wwwa-prod-web-vip-1a,10.113.63.14,80,sc9-prod-stage-dmz-1
wwwa-prod-web-vip-1,10.113.63.12,80,sc9-prod-stage-dmz-1
thinapp-qr-vip-1,10.113.63.106,443,sc9-prod-stage-dmz-1
webhost-prod-web-ssl-vip-1,10.113.63.15,443,sc9-prod-stage-dmz-1
webhost-prod-web-ftp-vip-1,10.113.63.15,21,sc9-prod-stage-dmz-1
vmworld-prod-vip-1,10.113.63.7,80,sc9-prod-stage-dmz-1
eis-prod-locklizard-ssl-vip,10.113.63.13,443,sc9-prod-stage-dmz-1
communities-prod-vip-2,10.113.63.79,80,sc9-prod-stage-dmz-1
sfdc-prod-apache-vip-1,10.113.78.34,80,sc9-prod-stage-dmz-1
