chassis_luid,nodeid,snapshotid,creationclassname,tag,dc_systemcreationclassname,dc_systemname,name,width,height,depth,serialnumber,partnumber,sku,chassistypes,typedescriptions,version,otheridentifyinginfo,r_model,dc_productid,elementname,manufacturer,model
2156073583744,45,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G1
2156073583749,48,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G1
2156073583742,22,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: 00040996,"",,,,ProLiant BL680c G5
2156073583743,22,-1,CIM_Chassis,23.1,,,Chassis,,,,,,,,,,Asset Tag: 00040996,"",,,,ProLiant BL680c G5
2156073583070,1285,-1,CIM_Chassis,System Enclosure 0,CIM_ComputerSystem,sc9-l06-oa1b.vmware.com,BladeSystem c7000 Enclosure,,,,USE7436WY3,,,,,,,"",403320-B21,,,
2156073583071,1285,-1,CIM_Chassis,Enclosure 1,CIM_ComputerSystem,sc9-l06-oa1b.vmware.com,SC9-CPP-PROD,17.4803,17.5197,29.7638,USE7436WY3,403320-B21,414050-001,23,Rack Mount Chassis,3.21,"",BladeSystem c7000 Enclosure,403320-B21,,,BladeSystem c7000 Enclosure
2156073583072,1285,-1,CIM_Chassis,Rack Power Enclosure 1,CIM_ComputerSystem,sc9-l06-oa1b.vmware.com,SC9-CPP-PROD,,,,USE7436WY3,,,23,Rack Mount Chassis,,,Rack Power Enclosure,,,,Rack Power Enclosure
2156073583750,2491,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G7
2156073583752,2490,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G7
2156073583810,2375,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G7
2156073583811,2377,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G7
2156073583812,2379,-1,CIM_Chassis,23.0,,,Chassis,,,,,,,,,,Asset Tag: unknown,"",,,,ProLiant BL685c G7
