physicalelement_luid,nodeid,snapshotid,creationclassname,tag,caption,description,name,installdatetime,status,manufacturedate,manufacturer,otheridentifyinginfo,partnumber,poweredon,serialnumber,sku,version,slot_number,dc_location,dc_condition,dc_firmwarerevision,dc_hwlocation,dc_productid,model
2211908167522,924,-1,CIM_PhysicalElement,Rack Net Connector 1,Other,,"",,,,,1,WS-CBS3020-HPQ,,FOC1139T04E,432904-001,,,osdc-mc1-d1-1,,"",,,"Cisco Systems, Inc. Cisco Catalyst Blade Switch 3020 for HP"
2211908167523,924,-1,CIM_PhysicalElement,Rack Net Connector 2,Other,,"",,,,,2,WS-CBS3020-HPQ,,FOC1139T013,432904-001,,,osdc-mc1-d1-1,,"",,,"Cisco Systems, Inc. Cisco Catalyst Blade Switch 3020 for HP"
2211908167524,924,-1,CIM_PhysicalElement,Rack Net Connector 3,Other,,"",,,,,3,406740-B21,,TWT828V0DN,419329-001,,,osdc-mc1-d1-1,,"",,,HP HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem
2211908167515,924,-1,CIM_PhysicalElement,Remote Insight Board 0,,Blade enclosure management processor,,,,,,,,,USE7426T6W,,,,,,,,,pciLightsOut100series (8)
2211908167538,924,-1,CIM_PhysicalElement,Server Blade 9,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,osdc-mc1-d1-1,,,,,
2211908167526,924,-1,CIM_PhysicalElement,Rack Net Connector 5,Passive,,"",,,,,5,AE370A,,CN8731601W,411120-001,,,osdc-mc1-d1-1,,"",,,BROCADE Brocade 4/12 SAN Switch for HP c-Class BladeSystem
2211908167555,924,-1,CIM_PhysicalElement,Server Blade 26,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,osdc-mc1-d1-1,,,,,
2211908167566,924,-1,CIM_PhysicalElement,Server Blade 37,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,5,osdc-mc1-d1-1,,,,,
2211908167503,1394,-1,CIM_PhysicalElement,Rack Power Supply 3,,,,,,,,,412138-B21,,5A22B0EHLVC0J2,411099-001,,3,sc9-l07-1,,"",,,
2211908167535,924,-1,CIM_PhysicalElement,Server Blade 6,,,osdc-vmg2-6.vmware.com,,,,,1,443527-B21,,USE80996B6,443684-B21,,6,osdc-mc1-d1-1,,,,,
2211908167539,924,-1,CIM_PhysicalElement,Server Blade 10,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,osdc-mc1-d1-1,,,,,
2211908167544,924,-1,CIM_PhysicalElement,Server Blade 15,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,15,osdc-mc1-d1-1,,,,,
2211908167506,1394,-1,CIM_PhysicalElement,Rack Power Supply 6,,,,,,,,,412138-B21,,5A22B0DHLTV1CD,411099-001,,6,sc9-l07-1,,"",,,
2211908167556,924,-1,CIM_PhysicalElement,Server Blade 27,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,osdc-mc1-d1-1,,,,,
2211908167520,924,-1,CIM_PhysicalElement,Rack Power Supply 5,,,,,,,,,412138-B21,,5A22B0EHLVN3RW,411099-001,,5,osdc-mc1-d1-1,,"",,,
2211908167542,924,-1,CIM_PhysicalElement,Server Blade 13,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,osdc-mc1-d1-1,,,,,
2211908167590,922,-1,CIM_PhysicalElement,Rack Net Connector 6,Passive,,"",,,,,6,AE370A,,CN8731601M,411120-001,,,osdc-mc1-d1-1,,"",,,BROCADE Brocade 4/12 SAN Switch for HP c-Class BladeSystem
2211908167536,924,-1,CIM_PhysicalElement,Server Blade 7,,,osdc-vmg2-7.vmware.com,,,,,1,443527-B21,,USE80996B7,443684-B21,,7,osdc-mc1-d1-1,,,,,
2211908167578,922,-1,CIM_PhysicalElement,Remote Insight Board 0,,Blade enclosure management processor,,,,,,,,,USE7426T6W,,,,,,,,,pciLightsOut100series (8)
2211908167596,922,-1,CIM_PhysicalElement,Server Blade 4,,,osdc-stg-vmg1-4.vmware.com,,,,,1,443527-B21,,USE839F8E7,443684-B21,,4,osdc-mc1-d1-1,,,,,
2211908167518,924,-1,CIM_PhysicalElement,Rack Power Supply 3,,,,,,,,,412138-B21,,5A22B0EHLV40C2,411099-001,,3,osdc-mc1-d1-1,,"",,,
2211908167525,924,-1,CIM_PhysicalElement,Rack Net Connector 4,Other,,"",,,,,4,406740-B21,,TWT801V08B,419329-001,,,osdc-mc1-d1-1,,"",,,HP HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem
