powersupply_luid,nodeid,snapshotid,creationclassname,deviceid,systemcreationclassname,systemname,name,availability,additionalavailability,totaloutputpower,r_status,r_condition,r_maxcapacity,dc_powersupplypresent,dc_powersupplystatus,dc_redundancystate,dc_currentoutputpower,otheridentifyinginfo,caption,type,location,manufacturer,tag,physicalposition,redundancyname,redundancystatus
2224793059992,1285,-1,CIM_PowerSupply,Rack Power Supply 2,CIM_PhysicalElement,sc9-l06-oa1b.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,925000,,,,,,,,,
2224793060286,922,-1,CIM_PowerSupply,Rack Power Supply 4,CIM_PhysicalElement,osdc-mc1-d1-oa1b.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,899000,,,,,,,,,
2224793060001,1287,-1,CIM_PowerSupply,Rack Power Supply 5,CIM_PhysicalElement,sc9-l06-oa1a.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,880000,,,,,,,,,
2224793060288,922,-1,CIM_PowerSupply,Rack Power Supply 6,CIM_PhysicalElement,osdc-mc1-d1-oa1b.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,0,,,,,,,,,
2224793060301,996,-1,CIM_PowerSupply,Rack Power Supply 5,CIM_PhysicalElement,osdc-mc1-f5-oa1b.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,799000,,,,,,,,,
2224793059993,1285,-1,CIM_PowerSupply,Rack Power Supply 3,CIM_PhysicalElement,sc9-l06-oa1b.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,0,,,,,,,,,
2224793059659,1403,-1,CIM_PowerSupply,Rack Power Supply 5,CIM_PhysicalElement,sc9-l07-oa1a.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,1047000,,,,,,,,,
2224793060285,922,-1,CIM_PowerSupply,Rack Power Supply 3,CIM_PhysicalElement,osdc-mc1-d1-oa1b.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,0,,,,,,,,,
2224793059997,1287,-1,CIM_PowerSupply,Rack Power Supply 1,CIM_PhysicalElement,sc9-l06-oa1a.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,880000,,,,,,,,,
2224793060002,1287,-1,CIM_PowerSupply,Rack Power Supply 6,CIM_PhysicalElement,sc9-l06-oa1a.vmware.com,Rack Power Supply,3,,2250000,,Running/Full Power,,present (3),noError (1),,0,,,,,,,,,
