devicekey,devicename,productname,productid,numberofcpu,virtualserialnumber,memorysize,romversion,serialnumber,assettag,osname,ipaddress,iplongvalue,osvendor,snapshotid,deviceowner,location,producttype,devicestatus,deviceboottime,productsubtype,producttypestr,serverrole,ipxaddress
1,oacentral,"","",0,,0,"","","","",10.130.45.0,176303360,"",-1,Root <root@localhost> (configure /etc/snmp/snmp.local.conf),Unknown (edit /etc/snmp/snmpd.conf),1,1,,x86System,Server,,
2,s2-uat-tcs1-vip,"","",0,,0,"","","","",10.130.45.10,176303370,"",,,"",0,1,,None,Unmanaged,,
3,s2-uat-portal-9,"","",0,,0,"","","","",10.130.45.3,176303363,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
4,s2-uat-portal-7,"","",0,,0,"","","","",10.130.45.1,176303361,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
5,s2-uat-tcs2-vip,"","",0,,0,"","","","",10.130.45.11,176303371,"",,,"",0,1,,None,Unmanaged,,
6,s2-uat-tcs3-vip,"","",0,,0,"","","","",10.130.45.12,176303372,"",,,"",0,1,,None,Unmanaged,,
7,s2-uat-tcs6-vip,"","",0,,0,"","","","",10.130.45.15,176303375,"",,,"",0,1,,None,Unmanaged,,
8,s2-uat-tcs5-vip,"","",0,,0,"","","","",10.130.45.14,176303374,"",,,"",0,1,,None,Unmanaged,,
9,s2-uat-tcs4-vip,"","",0,,0,"","","","",10.130.45.13,176303373,"",,,"",0,1,,None,Unmanaged,,
10,s2-uat-portal-8,"","",0,,0,"","","","",10.130.45.2,176303362,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
11,s2-uat-portal-10,"","",0,,0,"","","","",10.130.45.4,176303364,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
12,s2-uat-tcs8-vip,"","",0,,0,"","","","",10.130.45.17,176303377,"",,,"",0,1,,None,Unmanaged,,
13,s2-uat-lrp-4,"","",0,,0,"","","","",10.130.45.24,176303384,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
14,s2-uat-websvc1-vip,"","",0,,0,"","","","",10.130.45.18,176303378,"",,,"",0,1,,None,Unmanaged,,
15,s2-uat-websvc2-vip,"","",0,,0,"","","","",10.130.45.19,176303379,"",,,"",0,1,,None,Unmanaged,,
16,s2-uat-lrp-1,"","",0,,0,"","","","",10.130.45.21,176303381,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
17,s2-uat-hhq-2,"","",0,,0,"","","","",10.130.45.20,176303380,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
18,s2-uat-lrp-2,"","",0,,0,"","","","",10.130.45.22,176303382,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
19,s2-uat-lrp-3,"","",0,,0,"","","","",10.130.45.23,176303383,"",-1,root@localhost,Unknown,11,1,,None,Unknown,,
