devicekey,devicename,description,ipaddress,macaddress,inputerrors,outputerrors,speed,ipv6address,duplex,fullduplex,interfacename,subnetmask,broadcastaddress,interfacestate,dhcpenabled,iplongvalue,snapshotid,operationalstatus,protocoltype,maxdatasize,porttype,manufacturer
1,oacentral,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1,oacentral,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1,oacentral,eth0,10.130.45.0,00:50:56:98:01:85,0,0,1000000000,,"",, ,255.255.252.0,,,,,-1,,,,,
3,s2-uat-portal-9,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
3,s2-uat-portal-9,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
3,s2-uat-portal-9,eth0,10.130.45.3,00:50:56:98:00:FA,0,0,1000000000,,"",, ,255.255.252.0,,,,,-1,,,,,
4,s2-uat-portal-7,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
4,s2-uat-portal-7,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
4,s2-uat-portal-7,eth0,10.130.45.1,00:50:56:98:00:F8,0,0,1000000000,,"",, ,255.255.252.0,,,,,-1,,,,,
10,s2-uat-portal-8,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
10,s2-uat-portal-8,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
10,s2-uat-portal-8,eth0,10.130.45.2,00:50:56:98:00:F9,0,0,1000000000,,"",, ,255.255.252.0,,,,,-1,,,,,
11,s2-uat-portal-10,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
11,s2-uat-portal-10,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
11,s2-uat-portal-10,eth0,10.130.45.4,00:50:56:98:00:FB,0,0,1000000000,,"",, ,255.255.252.0,,,,,-1,,,,,
