ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.113.192.136,Up,B,0,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:68:46:E0:67:00
10.113.192.136,Up,B,1,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:69:46:E0:67:00
10.113.192.136,Up,B,2,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:6A:46:E0:67:00
10.113.192.136,Up,B,3,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:6B:46:E0:67:00
10.113.192.136,Up,B,4,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:6C:46:E0:67:00
10.113.192.136,Up,B,5,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:6D:46:E0:67:00
10.113.192.136,Down,B,6,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:6E:46:E0:67:00
10.113.192.136,Down,B,7,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:6F:46:E0:67:00
10.113.192.136,Up,A,0,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:60:46:E0:67:00
10.113.192.136,Up,A,1,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:61:46:E0:67:00
10.113.192.136,Up,A,2,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:62:46:E0:67:00
10.113.192.136,Up,A,3,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:63:46:E0:67:00
10.113.192.136,Up,A,4,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:64:46:E0:67:00
10.113.192.136,Up,A,5,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:65:46:E0:67:00
10.113.192.136,Down,A,6,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:66:46:E0:67:00
10.113.192.136,Down,A,7,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:67:46:E0:67:00
10.113.192.138,Up,B,0,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:68:46:E0:72:63
10.113.192.138,Up,B,1,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:69:46:E0:72:63
10.113.192.138,Down,B,2,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6A:46:E0:72:63
10.113.192.138,Down,B,3,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6B:46:E0:72:63
10.113.192.138,Up,B,4,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:6C:46:E0:72:63
10.113.192.138,Up,B,5,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:6D:46:E0:72:63
10.113.192.138,Down,B,6,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6E:46:E0:72:63
10.113.192.138,Down,B,7,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6F:46:E0:72:63
10.113.192.138,Up,A,0,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:60:46:E0:72:63
10.113.192.138,Up,A,1,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:61:46:E0:72:63
