"timestamp","ipaddress","dae","emc_part_num","emc_assy_rev","emc_art_rev","emc_serialnum","assembly_name","manu_year","manu_month","manu_day","arrayname"
"2012-4-11 14:7:46","10.128.204.64","Bus 0 Enclosure 0","100-562-904","","N/A","FCNVS110800010","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 0 Enclosure 1","100-562-904","","N/A","FCNVS110800047","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 0 Enclosure 2","100-562-904","","N/A","FCNVS110800057","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 0 Enclosure 3","100-562-904","","N/A","FCNVS110800027","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 0 Enclosure 4","100-562-904","","N/A","FCNVS110800064","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 1 Enclosure 0","100-562-904","","N/A","US1V4110410510","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 1 Enclosure 1","100-562-904","","N/A","US1V4110410683","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 1 Enclosure 2","100-562-904","","N/A","FCNVS110800029","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 1 Enclosure 3","100-562-904","","N/A","US1V4110510844","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 1 Enclosure 4","100-562-904","","N/A","FCNVS110800009","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 2 Enclosure 0","100-562-904","","N/A","US1V4110410534","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 2 Enclosure 1","100-562-904","","N/A","US1V4110410541","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 2 Enclosure 2","100-562-904","","N/A","US1V4110410538","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 2 Enclosure 3","100-562-904","","N/A","US1V4110410495","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 2 Enclosure 4","100-562-904","","N/A","US1V4110410516","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 2 Enclosure 5","100-562-904","","N/A","US1V4110410524","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 0","100-562-904","","N/A","FCNVS110700046","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 1","100-562-904","","N/A","FCNVS110700017","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 2","100-562-904","","N/A","FCNVS110700048","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 3","100-562-904","","N/A","FCNVS110700045","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 4","100-562-904","","N/A","FCNVS110700006","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 5","100-562-904","","N/A","US1V4110410547","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.128.204.64","Bus 3 Enclosure 6","100-562-904","","N/A","FCNVS110700034","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","wdc-vnx-2630"
"2012-4-11 14:7:46","10.119.0.203","Bus 0 Enclosure 0","100-562-904","","N/A","US1V4104800350","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 0 Enclosure 1","100-562-904","","N/A","US1V4110510835","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 0 Enclosure 2","100-562-712","","N/A","US1D1111900263","25 DRIVE 6G SAS DERRINGER DAE","2011","05","17","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 1 Enclosure 0","100-562-904","","N/A","US1V4110510423","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 1 Enclosure 1","100-562-904","","N/A","US1V4111010536","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 1 Enclosure 2","100-562-712","","N/A","US1D1111900010","25 DRIVE 6G SAS DERRINGER DAE","2011","05","07","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 2 Enclosure 0","100-562-904","","N/A","US1V4110510428","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.119.0.203","Bus 2 Enclosure 1","100-562-904","","N/A","US1V4112410725","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.113.81.5","Bus 0 Enclosure 0","100-562-904","","N/A","US1V4120612766","6G SAS LF DAE VIPER W/FLANGES","2012","N/A","N/A","osdc-cx3-80-04 Exchange"
"2012-4-11 14:7:46","10.113.81.5","Bus 0 Enclosure 1","100-562-904","","N/A","FCNVS120802050","6G SAS LF DAE VIPER W/FLANGES","N/A","N/A","N/A","osdc-cx3-80-04 Exchange"
