"timestamp","lun","ipaddress","lunnumber","disks","arrayname"
"2012-4-11 14:7:46","naa.6006016042702C00D00E73A9F0A9E011","10.128.204.64","7579","Bus 3 Enclosure 0 Disk 13","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C004407107DF0A9E011","10.128.204.64","7580","Bus 2 Enclosure 5 Disk 14","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C008285D87DCFA9E011","10.128.204.64","7581","Bus 3 Enclosure 6 Disk 14","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00F0077B47CDA9E011","10.128.204.64","7582","Bus 3 Enclosure 0 Disk 6","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C008C28D41E04DBE011","10.128.204.64","8157","Bus 3 Enclosure 6 Disk 0","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00009AB7BA6DDAE011","10.128.204.64","8158","Bus 1 Enclosure 4 Disk 14","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00C836BC6A6DDAE011","10.128.204.64","8159","Bus 1 Enclosure 0 Disk 14","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00901483D365DAE011","10.128.204.64","8160","Bus 3 Enclosure 3 Disk 14","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00188F7193A9A9E011","10.128.204.64","8161","Bus 3 Enclosure 0 Disk 14","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C000C8D2DDCA8A9E011","10.128.204.64","8162","Bus 0 Enclosure 0 Disk 12","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00928ECE37A7A9E011","10.128.204.64","8163","Bus 0 Enclosure 3 Disk 5","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C008E3B8D4FA5A9E011","10.128.204.64","8164","Bus 0 Enclosure 0 Disk 11","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C00C627EB719CA9E011","10.128.204.64","8165","Bus 0 Enclosure 4 Disk 0","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016002202D0088591C3846E2E011","10.119.0.203","16128","Bus 1 Enclosure 2 Disk 24","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016002202D00C42371BB44E2E011","10.119.0.203","16177","Bus 0 Enclosure 2 Disk 24","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016002202D005281AF4E41E2E011","10.119.0.203","16226","Bus 2 Enclosure 1 Disk 14","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016035802C0048767818DF80E011","10.119.0.203","16315","Bus 0 Enclosure 0 Disk 9","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016036802C00625257E59A64E011","10.119.0.203","16376","Bus 0 Enclosure 0 Disk 10","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016036802C00E259ADB29A64E011","10.119.0.203","16377","Bus 0 Enclosure 0 Disk 11","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016035802C009C88ECCB7665E011","10.119.0.203","17","Bus 2 Enclosure 0 Disk 10","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016035802C009C88ECCB7665E011","10.119.0.203","17","Bus 2 Enclosure 0 Disk 11","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016035802C009C88ECCB7665E011","10.119.0.203","17","Bus 2 Enclosure 0 Disk 12","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016035802C009C88ECCB7665E011","10.119.0.203","17","Bus 2 Enclosure 0 Disk 13","vf-vnx7500-cs0"
"2012-4-11 14:7:46","naa.6006016035802C009C88ECCB7665E011","10.119.0.203","17","Bus 2 Enclosure 0 Disk 14","vf-vnx7500-cs0"
