"timestamp","lunid","ipaddress","lun","drivetype","capacitymb","raidtype","disks","arrayname"
"2012-4-11 14:7:46","naa.600601601A602D0038F55F47821BE111","10.128.204.64","LUN 1","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C004C29DCAB26DBE011","10.128.204.64","LUN 101","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C004E29DCAB26DBE011","10.128.204.64","LUN 102","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C005029DCAB26DBE011","10.128.204.64","LUN 103","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C005229DCAB26DBE011","10.128.204.64","LUN 104","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C005429DCAB26DBE011","10.128.204.64","LUN 105","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C006AD67DAD3ADBE011","10.128.204.64","LUN 106","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C004AC25F8893E0E011","10.128.204.64","LUN 107","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C004CC25F8893E0E011","10.128.204.64","LUN 108","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.6006016042702C0084A4B17609E6E011","10.128.204.64","LUN 109","N/A","1331200","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.600601601A602D0026BDB22A5E26E111","10.128.204.64","LUN 110","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.600601601A602D005EC03FCE7DEBE011","10.128.204.64","LUN 111","N/A","1048576","N/A","","wdc-vnx-2630"
"2012-4-11 14:7:46","naa.600601601A602D00A85325017EEBE011","10.128.204.64","LUN 112","N/A","1048576","N/A","","wdc-vnx-2630"
