"timestamp","ipaddress","arrayname","sp","port","linkstatus","portstatus","sp_source_id","spuid","switchpresent","switchuid"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","A","0","Up","Online","1700928","50:06:01:60:C6:E0:03:B3:50:06:01:60:46:E0:03:B3","YES","10:00:00:05:33:99:99:00:20:F4:00:05:33:99:99:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","A","1","Up","Online","1700864","50:06:01:60:C6:E0:03:B3:50:06:01:61:46:E0:03:B3","YES","10:00:00:05:1E:D1:A9:00:20:F4:00:05:1E:D1:A9:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","A","2","Up","Online","1701440","50:06:01:60:C6:E0:03:B3:50:06:01:62:46:E0:03:B3","YES","10:00:00:05:33:99:99:00:20:F6:00:05:33:99:99:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","A","3","Up","Online","1701376","50:06:01:60:C6:E0:03:B3:50:06:01:63:46:E0:03:B3","YES","10:00:00:05:1E:D1:A9:00:20:F6:00:05:1E:D1:A9:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","B","0","Up","Online","1701184","50:06:01:60:C6:E0:03:B3:50:06:01:68:46:E0:03:B3","YES","10:00:00:05:33:99:99:00:20:F5:00:05:33:99:99:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","B","1","Up","Online","1701120","50:06:01:60:C6:E0:03:B3:50:06:01:69:46:E0:03:B3","YES","10:00:00:05:1E:D1:A9:00:20:F5:00:05:1E:D1:A9:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","B","2","Up","Online","1701696","50:06:01:60:C6:E0:03:B3:50:06:01:6A:46:E0:03:B3","YES","10:00:00:05:33:99:99:00:20:F7:00:05:33:99:99:00"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","B","3","Up","Online","1701632","50:06:01:60:C6:E0:03:B3:50:06:01:6B:46:E0:03:B3","YES","10:00:00:05:1E:D1:A9:00:20:F7:00:05:1E:D1:A9:00"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","0","Up","Online","","50:06:01:60:C6:E0:4B:43:50:06:01:60:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","1","Up","Online","","50:06:01:60:C6:E0:4B:43:50:06:01:61:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","2","Up","Online","12781568","50:06:01:60:C6:E0:4B:43:50:06:01:62:46:E0:4B:43","YES","10:00:00:05:33:43:BE:0C:20:07:00:05:33:43:BE:0C"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","3","Up","Online","12847104","50:06:01:60:C6:E0:4B:43:50:06:01:63:46:E0:4B:43","YES","10:00:00:05:33:3E:58:82:20:07:00:05:33:3E:58:82"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","4","Down","DISABLED","","50:06:01:60:C6:E0:4B:43:50:06:01:64:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","5","Down","DISABLED","","50:06:01:60:C6:E0:4B:43:50:06:01:65:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","6","Down","DISABLED","","50:06:01:60:C6:E0:4B:43:50:06:01:66:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","A","7","Down","DISABLED","","50:06:01:60:C6:E0:4B:43:50:06:01:67:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","B","0","Up","Online","","50:06:01:60:C6:E0:4B:43:50:06:01:68:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","B","1","Up","Online","","50:06:01:60:C6:E0:4B:43:50:06:01:69:46:E0:4B:43","NO",""
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","B","2","Up","Online","12781312","50:06:01:60:C6:E0:4B:43:50:06:01:6A:46:E0:4B:43","YES","10:00:00:05:33:43:BE:0C:20:08:00:05:33:43:BE:0C"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","B","3","Up","Online","12846848","50:06:01:60:C6:E0:4B:43:50:06:01:6B:46:E0:4B:43","YES","10:00:00:05:33:3E:58:82:20:08:00:05:33:3E:58:82"
