Array	Model	Location	IP Addr.	Secondary IP	Serial
wdc-cx3-80-12 Exchange	CX3-80	WDC M00-M02	10.128.205.73	10.128.205.74	APM00080301616
wdc-cx3-80-11 Prod	CX3-80	WDC I10-I12	10.128.205.21	10.128.205.22	APM00087400784
wdc-cx3-80-71 Test/Dev	CX3-80	WDC	10.128.201.31	10.128.201.32	APM00084700785
wdc-cx4-2311	CX4-960	WDC	10.128.205.99	10.128.205.100	APM00104002311
sc9-cx3-80-02 Prod	CX3-80	SC9 L13-L15	10.113.58.21	10.113.58.22	APM00071501985
# sc9-cx3-80-10 Stage	CX3-80	SC9 K13-K15	10.113.50.21	10.113.50.22	APM00070400672
sc9-cx3-80-03 Prod	CX3-80	SC9 J13-J15	10.113.16.50	10.113.16.51	APM00080301080
View_1	CX4-480	SC9	10.113.89.201	10.113.89.202	APM00101601709
cx4-1870-spa (Zimbra/EXG)	CX4-960	SC9	10.113.58.145	10.113.58.146	APM00103801870
sc9-ns4-960-01	CX4-960	SC9	10.113.192.78	10.113.192.79	APM00103901860
View_2	CX4-480	SC9	10.113.89.205	10.113.89.206	APM00104401720
prb-cx3-10-01 Infrastructure	CX3-10	PROM B	10.16.66.200	10.16.66.201	APM00071501525
osdc-cx3-20-01	CX3-20	OSDC PH3 E28	10.16.66.98	10.16.66.99	APM00064303364
osdc-cx3-80-02 VDI PH3	CX3-80	OSDC PH3 E18-E19	10.16.66.53	10.16.66.55	APM00070600441
osdc-cx3-20-03	CX3-20	OSDC PH3 E11	10.16.66.120	10.16.66.127	APM00062300057
# osdc-cx3-40-04	CX3-40	OSDC MC F15	10.16.66.93	10.16.66.94	APM00064000206
osdc-cx3-80-03 Prod	CX3-80	OSDC MC F11-F12	10.16.24.130	10.16.24.131	APM00074602240
osdc-cx3-80-01 Stage	CX3-80	OSDC MC D03-D04  C04	10.16.66.183	10.16.66.184	APM00070400673
osdc-cx3-20-02	CX3-20	OSDC MC D02	10.16.66.100	10.16.66.101	APM00064303366
osdc-cx3-80-04 Exchange	CX3-80	OSDC MC A11-A13	10.113.81.5	10.113.81.6	APM00080400189
osdc-cx3-40-02	CX3-40	OSDC MC A08	10.16.66.85	10.16.66.86	APM00062901307
osdc-cx3-80-05 Prod	CX3-80	OSDC MC	10.21.184.141	10.21.184.142	APM00071500930
osdc-cx3-40-01	CX3-40	OSDC E21-E22	10.16.66.83	10.16.66.84	APM00062103510
# dc-cx700-01	cx700	Deer Creek	10.16.68.25	10.16.68.26	APM00053002085
# OSDC-cx3-40-03	cx3-40-03	OSDC	10.16.66.91		APM00063804219
vf-vnx7500-cs0	VNX7500	SC9	10.119.0.203	10.119.0.204	APM00111001875
wdc-vnx-2630	VNX5700	SC9	10.128.204.64	10.128.204.65	APM00111002206
