vendor,device,model,versiontype,version
"emc","osdc-cx3-20-02","CX3-20","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-20-02","CX3-20","promrev","4.00.00"
"emc","osdc-cx3-20-02","CX3-20","revision","3.26.20.5.031"
"emc","osdc-cx3-80-01 Stage","CX3-80","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-80-01 Stage","CX3-80","promrev","5.15.00"
"emc","osdc-cx3-80-01 Stage","CX3-80","revision","3.26.80.5.031"
"emc","osdc-cx3-40-02","CX3-40","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-40-02","CX3-40","promrev","4.00.00"
"emc","osdc-cx3-40-02","CX3-40","revision","3.26.40.5.031"
"emc","View_2","CX4-480","agentrev","7.30.12 (0.73)"
"emc","View_2","CX4-480","promrev","5.30.00"
"emc","View_2","CX4-480","revision","04.30.000.5.522"
"emc","osdc-cx3-80-05 Prod","CX3-10c","agentrev","6.26.32 (0.72)"
"emc","osdc-cx3-80-05 Prod","CX3-10c","promrev","4.00.00"
"emc","osdc-cx3-80-05 Prod","CX3-10c","revision","3.26.10.5.032"
"emc","sc9-ns4-960-01","CX4-960","agentrev","7.30.12 (0.73)"
"emc","sc9-ns4-960-01","CX4-960","promrev","7.00.00"
"emc","sc9-ns4-960-01","CX4-960","revision","04.30.000.5.522"
"emc","wdc-cx3-80-71 Test/Dev","CX3-80","agentrev","6.26.31 (2.70)"
"emc","wdc-cx3-80-71 Test/Dev","CX3-80","promrev","5.15.00"
"emc","wdc-cx3-80-71 Test/Dev","CX3-80","revision","3.26.80.5.031"
"emc","osdc-cx3-40-01","CX3-40","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-40-01","CX3-40","promrev","4.00.00"
"emc","osdc-cx3-40-01","CX3-40","revision","3.26.40.5.031"
"emc","osdc-cx3-20-03","CX3-20","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-20-03","CX3-20","promrev","4.00.00"
"emc","osdc-cx3-20-03","CX3-20","revision","3.26.20.5.031"
"emc","View_1","CX4-480","agentrev","7.30.12 (0.73)"
"emc","View_1","CX4-480","promrev","5.30.00"
"emc","View_1","CX4-480","revision","04.30.000.5.522"
"emc","osdc-cx3-20-01","CX3-20","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-20-01","CX3-20","promrev","4.00.00"
"emc","osdc-cx3-20-01","CX3-20","revision","3.26.20.5.031"
"emc","wdc-cx3-80-12 Exchange","CX3-80","agentrev","6.26.31 (2.70)"
"emc","wdc-cx3-80-12 Exchange","CX3-80","promrev","5.15.00"
"emc","wdc-cx3-80-12 Exchange","CX3-80","revision","3.26.80.5.031"
"emc","wdc-cx4-2311","CX4-960","agentrev","7.30.12 (0.73)"
"emc","wdc-cx4-2311","CX4-960","promrev","7.00.00"
"emc","wdc-cx4-2311","CX4-960","revision","04.30.000.5.522"
"emc","osdc-cx3-80-04 Exchange","CX3-80","agentrev","6.26.32 (0.72)"
"emc","osdc-cx3-80-04 Exchange","CX3-80","promrev","5.15.00"
"emc","osdc-cx3-80-04 Exchange","CX3-80","revision","3.26.80.5.032"
"emc","osdc-cx3-80-03 Prod","CX3-80","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-80-03 Prod","CX3-80","promrev","5.15.00"
"emc","osdc-cx3-80-03 Prod","CX3-80","revision","3.26.80.5.031"
"emc","prb-cx3-10-01 Infrastructure","CX3-80","agentrev","6.26.31 (2.70)"
"emc","prb-cx3-10-01 Infrastructure","CX3-80","promrev","5.15.00"
"emc","prb-cx3-10-01 Infrastructure","CX3-80","revision","3.26.80.5.031"
"emc","osdc-cx3-80-02 VDI PH3","CX3-80","agentrev","6.26.31 (2.70)"
"emc","osdc-cx3-80-02 VDI PH3","CX3-80","promrev","5.15.00"
"emc","osdc-cx3-80-02 VDI PH3","CX3-80","revision","3.26.80.5.031"
"emc","wdc-cx3-80-11 Prod","CX3-80","agentrev","6.26.31 (2.70)"
"emc","wdc-cx3-80-11 Prod","CX3-80","promrev","5.15.00"
"emc","wdc-cx3-80-11 Prod","CX3-80","revision","3.26.80.5.031"
"emc","cx4-1870-spa (Zimbra/EXG)","CX4-960","agentrev","7.30.12 (0.73)"
"emc","cx4-1870-spa (Zimbra/EXG)","CX4-960","promrev","7.00.00"
"emc","cx4-1870-spa (Zimbra/EXG)","CX4-960","revision","04.30.000.5.522"
"avamar","osdc-bi-app-2.vmware.com","avamar client","version","4.0.3-24"
"avamar","oraprodbia02.vmware.com","avamar client","version","4.1.101-340"
"avamar","elpsis-prod-app.vmware.com","avamar client","version","4.1.101-340"
"avamar","vmportal3-crawl.vmware.com","avamar client","version","4.0.3-24"
"avamar","knova-stg-kss1.vmware.com","avamar client","version","3.7.1-100"
"avamar","osdc-fm01.vmware.com","avamar client","version","4.1.101-340"
"avamar","it-vc-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","sblesvstage2.vmware.com","avamar client","version","4.0.3-24"
"avamar","store-stg2ptl2.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-test2-ebs-r1.vmware.com","avamar client","version","4.1.101-340"
"avamar","vmweb-test-db.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-dev-fbi-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","vmview-secr-1","avamar client","version","4.0.3-24"
"avamar","it-vc-db-12009.10.01.15.10.09","avamar client","version"," unKnown "
"avamar","quest-db-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-dev-vi4-app-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","knova-stg-ikb1.vmware.com","avamar client","version","3.7.1-100"
"avamar","tongwen-dev-db","avamar client","version","4.0.3-24"
"avamar","wwwa-uat-lamp-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","odi-pri-winagt2.vmware.com2011.02.05.13.26.07","avamar client","version","5.0.106-28"
"avamar","ora-dev-fmsoa-a2.vmware.com","avamar client","version","5.0.106-28"
"avamar","knova-stg-kss2.vmware.com","avamar client","version","3.7.1-100"
"avamar","nis2.vmware.com","avamar client","version","5.0.105-169"
"avamar","ora-prod-strm-bi-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","lmacias-380.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-dev2-ebs-app-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","cornflakes.vmware.com","avamar client","version","3.7.1-100"
"avamar","dc-knova-proxy.vmware.com","avamar client","version","3.7.1-100"
"avamar","vf-mgmt-vc-db.vmware.com","avamar client","version","5.0.106-28"
"avamar","osdc-srm-vc-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","vf-view-dhcp.vmware.com","avamar client","version","5.0.106-28"
"avamar","vmppm-vision.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmweb-apache-ha-22.vmware.com2011.03.07.13.40.30","avamar client","version","3.7.1-100"
"avamar","pa-ppm1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-bes02.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-vdm03.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-qa-dmcbi-d1.vmware.com","avamar client","version","4.0.3-24"
"avamar","moss-dev-6.vmware.com","avamar client","version","4.0.3-24"
"avamar","moss-dev-2.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-aviq-odb.vmware.com","avamar client","version","4.1.101-340"
"avamar","store-stg2db1.vmware.com","avamar client","version","3.7.1-100"
"avamar","lm-itadmin3.vmware.com","avamar client","version","4.1.101-340"
"avamar","sblcctprod1.vmware.com","avamar client","version","4.0.3-24"
"avamar","sblcctprod6.vmware.com","avamar client","version","4.0.3-24"
"avamar","dc-knova-kss.vmware.com","avamar client","version","3.7.1-100"
"avamar","osoft-webapp2.vmware.com","avamar client","version","4.0.3-24"
"avamar","osdcwlcsandbox1.vmware.com","avamar client","version","3.7.1-100"
"avamar","jabber-prod-db-2.vmware.com2011.02.04.09.50.23","avamar client","version","5.0.105-169"
"avamar","tapeoutcppdb","avamar client","version"," unKnown "
"avamar","tapeoutsc9-nas-proxy-1","avamar client","version"," unKnown "
"avamar","vmportal3-srch.vmware.com","avamar client","version","3.7.1-100"
"avamar","qastoredb.vmware.com","avamar client","version","3.7.1-100"
"avamar","sblcctstage5.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmweb-apache-ha-23.vmware.com2011.03.07.13.40.39","avamar client","version","3.7.1-100"
"avamar","tongwen-dev-web","avamar client","version","4.0.3-24"
"avamar","dr-vmwtestwsvc2.vmware.com","avamar client","version","3.7.1-100"
"avamar","poet-prod-app2.vmware.com","avamar client","version","4.0.3-24"
"avamar","knova-stg-kcc1.vmware.com2008.10.27.13.21.02","avamar client","version","3.7.1-100"
"avamar","vmportal3-db4.vmware.com2011.03.19.11.32.42","avamar client","version","4.1.101-340"
