display_client_name,agent_version
"osdc-bi-app-2.vmware.com","4.0.3-24"
"oraprodbia02.vmware.com","4.1.101-340"
"elpsis-prod-app.vmware.com","4.1.101-340"
"vmportal3-crawl.vmware.com","4.0.3-24"
"knova-stg-kss1.vmware.com","3.7.1-100"
"osdc-fm01.vmware.com","4.1.101-340"
"it-vc-1.vmware.com","4.0.3-24"
"sblesvstage2.vmware.com","4.0.3-24"
"store-stg2ptl2.vmware.com","3.7.1-100"
"ora-test2-ebs-r1.vmware.com","4.1.101-340"
"vmweb-test-db.vmware.com","3.7.1-100"
"ora-dev-fbi-d1.vmware.com","4.1.100-1470"
"vmview-secr-1","4.0.3-24"
"it-vc-db-12009.10.01.15.10.09"," unKnown "
"quest-db-1.vmware.com","3.7.1-100"
"ora-dev-vi4-app-1.vmware.com","4.0.3-24"
"knova-stg-ikb1.vmware.com","3.7.1-100"
"tongwen-dev-db","4.0.3-24"
"wwwa-uat-lamp-1.vmware.com","3.7.1-100"
"odi-pri-winagt2.vmware.com2011.02.05.13.26.07","5.0.106-28"
"ora-dev-fmsoa-a2.vmware.com","5.0.106-28"
"knova-stg-kss2.vmware.com","3.7.1-100"
"nis2.vmware.com","5.0.105-169"
"ora-prod-strm-bi-d1.vmware.com","4.1.100-1470"
"lmacias-380.vmware.com","5.0.106-28"
"ora-dev2-ebs-app-1.vmware.com","4.0.3-24"
"cornflakes.vmware.com","3.7.1-100"
"dc-knova-proxy.vmware.com","3.7.1-100"
"vf-mgmt-vc-db.vmware.com","5.0.106-28"
"osdc-srm-vc-1.vmware.com","4.1.101-340"
"vf-view-dhcp.vmware.com","5.0.106-28"
"vmppm-vision.vmware.com","4.0.3-24"
"vmweb-apache-ha-22.vmware.com2011.03.07.13.40.30","3.7.1-100"
"pa-ppm1.vmware.com","4.0.3-24"
"pa-bes02.vmware.com","4.1.101-340"
"pa-vdm03.vmware.com","4.0.3-24"
"ora-qa-dmcbi-d1.vmware.com","4.0.3-24"
"moss-dev-6.vmware.com","4.0.3-24"
"moss-dev-2.vmware.com","4.1.101-340"
"pa-aviq-odb.vmware.com","4.1.101-340"
"store-stg2db1.vmware.com","3.7.1-100"
"lm-itadmin3.vmware.com","4.1.101-340"
"sblcctprod1.vmware.com","4.0.3-24"
"sblcctprod6.vmware.com","4.0.3-24"
"dc-knova-kss.vmware.com","3.7.1-100"
"osoft-webapp2.vmware.com","4.0.3-24"
"osdcwlcsandbox1.vmware.com","3.7.1-100"
"jabber-prod-db-2.vmware.com2011.02.04.09.50.23","5.0.105-169"
"tapeoutcppdb"," unKnown "
"tapeoutsc9-nas-proxy-1"," unKnown "
"vmportal3-srch.vmware.com","3.7.1-100"
"qastoredb.vmware.com","3.7.1-100"
"sblcctstage5.vmware.com","4.0.3-24"
"vmweb-apache-ha-23.vmware.com2011.03.07.13.40.39","3.7.1-100"
"tongwen-dev-web","4.0.3-24"
"dr-vmwtestwsvc2.vmware.com","3.7.1-100"
"poet-prod-app2.vmware.com","4.0.3-24"
"knova-stg-kcc1.vmware.com2008.10.27.13.21.02","3.7.1-100"
"vmportal3-db4.vmware.com2011.03.19.11.32.42","4.1.101-340"
"ora-test2-osb-a1.vmware.com","5.0.106-28"
"staging-wlc03.vmware.com","3.7.1-100"
"osdc-qaprm.vmware.com","3.7.1-100"
"vf-vcd-cell-01.vmware.com","5.0.106-28"
"pa-print02.vmware.com","4.1.101-340"
"ivr-app01-prod.vmware.com","4.0.3-24"
"parootdc04.vmware.com","5.0.106-28"
"stamp.vmware.com","5.0.105-169"
"osdc-dns-1.vmware.com","4.1.101-340"
"ora-beta-idm-1.vmware.com","4.1.101-340"
"pa-oragrid.vmware.com","4.1.101-340"
"vhunter3.vmware.com","4.1.101-340"
"vc-prod-1.vmware.com","5.0.105-169"
"osdc-dmz-lamp-1.vmware.com","4.1.101-340"
"passagepoint-1.vmware.com2011.01.21.14.12.28","4.1.101-340"
"pa-opalis-prod1.vmware.com","4.1.101-340"
"lmacias-d410.vmware.com","3.7.1-100"
"ecc-store-1.vmware.com","4.0.3-24"
"ora-dev-siebel-d1.vmware.com","4.1.100-1470"
"pa-sso.vmware.com","3.7.1-100"
"tapeout"," unKnown "
"osdc-storedevdb.vmware.com","3.7.1-100"
"ora-perf-pmgmt-d1.vmware.com","4.1.100-1470"
"knova7-qaaddb.vmware.com","3.7.1-100"
"vmweb-prod-people-1.vmware.com2011.03.07.13.40.46","4.1.101-340"
"ppmdev.vmware.com","4.1.101-340"
"zimbra-ldap-master-1.vmware.com","5.0.105-169"
"ora-perf-fmwsoax-d1.vmware.com","6.0.100-592"
"scripts.vmware.com","4.0.3-24"
"vmportal3-db3.vmware.com2011.03.19.11.32.30","4.1.101-340"
"sblgwstage3.vmware.com","4.0.3-24"
"pa-altiris.vmware.com","4.1.101-340"
"ora-perf-osb-a2.vmware.com","5.0.106-28"
"osdc-lawdb.vmware.com","3.7.1-100"
"ucmp.vmware.com","4.1.101-340"
"ora-prod-strm-d1.vmware.com","4.1.100-1470"
"ora-stage-ebs-ccm-2.vmware.com","4.1.101-340"
"softwareupdate-prod.vmware.com","4.1.101-340"
"ecc-svr-1.vmware.com","4.0.3-24"
"ora-tst-osb-a1.vmware.com","5.0.106-28"
"ora-dev2-fmsoa-a1.vmware.com","4.1.100-1470"
"vmweb-test-wss.vmware.com","3.7.1-100"
"store-stg2wlc5.vmware.com","3.7.1-100"
"vhunter2.vmware.com","4.1.101-340"
"pa-ace01.vmware.com","4.1.101-340"
"zimbra-mbox-2.vmware.com","5.0.105-169"
"sblwebstage2.vmware.com","4.0.3-24"
"web-world-1.vmware.com","4.1.101-340"
"ora-lt-fmsoa-a6.vmware.com","5.0.106-28"
"osoft-prod-db.vmware.com","4.1.101-340"
"ittools-app-1.vmware.com","3.7.1-100"
"avamar2tape","4.0.3-24"
"poet-prod-app1.vmware.com","4.0.3-24"
"vmportal3-qry2.vmware.com","4.0.3-24"
"smtp-outbound-1.vmware.com","5.0.105-169"
"pa-psynch2.vmware.com","4.1.101-340"
"jabber-prod-1.vmware.com2011.02.04.09.46.54","5.0.105-169"
"interwoven-dev-search-1.vmware.com","4.1.101-340"
"ora-pat-fmb2b-1.vmware.com","4.1.101-340"
"gss-srch-web1.vmware.com","4.1.101-340"
"osdc-ecc-1.vmware.com","4.1.101-340"
"ora-dmqa-d1.vmware.com","4.1.101-340"
"gss-srch-db1.vmware.com2011.03.19.11.57.36","4.1.101-340"
"mssql-dev.vmware.com","4.1.101-340"
"vmweb-apache-ha-12.vmware.com2011.03.07.13.39.59","3.7.1-100"
"zos-nonprod-hub-1.vmware.com","4.1.101-340"
