vendor,switchname,version
brocade,osdc-fab11sw1,v6.3.1a
brocade,osdc-fab12sw1,v6.3.1a
brocade,osdc-fab13sw1,v6.2.1b
brocade,osdc-fab14sw1,v6.2.1b
brocade,osdc-fab1sw1,v6.3.1a
brocade,osdc-fab23sw1,v6.2.1b
brocade,osdc-fab24sw1,v6.2.1b
brocade,osdc-fab2sw1,v6.3.1a
brocade,osdc-fab31sw1,v6.2.1b
brocade,osdc-fab32sw1,v6.2.1b
brocade,osdc-fab33sw1,v6.2.1b
brocade,osdc-fab34sw1,v6.2.1b
brocade,osdc-fab35sw1,v6.2.1b
brocade,osdc-fab36sw1,v6.2.1b
brocade,osdc-fab37sw1,v6.2.1b
brocade,osdc-fab38sw1,v6.2.1b
brocade,osdc-fab41sw1,v6.3.1a
brocade,osdc-fab42sw1,v6.3.1a
brocade,osdc-fab43sw1,v6.3.1a
brocade,osdc-fab44sw1,v6.3.1a
brocade,osdc-fab51sw1,v6.2.1b
brocade,osdc-fab52sw1,v6.2.1b
brocade,osdc-fab53sw1,v6.2.1b
brocade,osdc-fab54sw1,v6.2.1b
brocade,osdc-fab55sw1,v6.2.1b
brocade,osdc-fab56sw1,v6.2.1b
brocade,osdc-fab61sw1,v6.2.1b
brocade,osdc-fab62sw1,v6.2.1b
brocade,osdc-fab63sw1,v6.2.1b
brocade,osdc-fab64sw1,v6.2.1b
brocade,osdc-fab65sw1,v6.2.1b
brocade,osdc-fab66sw1,v6.2.1b
brocade,osdc-fab67sw1,v6.2.1b
brocade,osdc-fab68sw1,v6.2.1b
brocade,osdc-fab69sw1,v6.2.1b
brocade,osdc-fab70sw1,v6.2.1b
brocade,paix-fab1-sw1,v6.4.1b
brocade,paix-fab2-sw1,v6.4.1b
brocade,sc9-dcx-fab10sw1,v6.4.1b
brocade,sc9-dcx-fab9sw1,v6.4.1b
brocade,sc9-fab11sw1,v6.4.1b
brocade,sc9-fab12sw1,v6.4.1b
brocade,sc9-fab13sw1,v6.4.1b
brocade,sc9-fab14sw1,v6.4.1b
brocade,sc9-fab15sw1,v6.4.1b
brocade,sc9-fab16sw1,v6.4.1b
