vendor,arrayname,assembly_name,emc_part_num,emc_art_rev
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-20-02","4GB FC DAE STILETTO W/ FLANGES","100-561-622","D05"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE D15 W/ FLANGES","100-562-124","C01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE D15 W/ FLANGES","100-562-124","C01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE D15 W/ FLANGES","100-562-124","C01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE D15 W/ FLANGES","100-562-124","C01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE D15 W/ FLANGES","100-562-124","C01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E03"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE D15 W/ FLANGES","100-562-124","C01"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E03"
"emc","osdc-cx3-80-01 Stage","4GB FC DAE STILETTO W/ FLANGES","100-561-622","E02"
