hostname,manu,model,firmware
"sc9-dd880-1.vmware.com","WDC","WD3000BLFS-01YBU1","04.04V06"
"sc9-dd880-1.vmware.com","WDC","WD3000BLFS-01YBU1","04.04V06"
"sc9-dd880-1.vmware.com","WDC","WD3000BLFS-01YBU1","04.04V06"
"sc9-dd880-1.vmware.com","WDC","WD3000BLFS-01YBU1","04.04V06"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Hitachi","HUA722010CLA330","JP4OA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA3EA"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Hitachi","HUA722020ALA330","JKAOA20N"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
"sc9-dd880-1.vmware.com","Seagate","ST31000340NS","XR38"
