vendor,vmhost,model,biosversion
"HP","sc9-vf-cat1-01.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-cat1-02.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-05.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-06.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-07.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-02.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-01.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-03.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-dev1-04.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-prod1-05.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-prod1-06.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-prod1-02.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-prod1-01.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-prod1-03.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-prod1-04.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-view1-02.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-vf-view1-01.vmware.com","ProLiant BL490c G7",""
"HP","sc9-vf-mgmt-01.vmware.com","ProLiant DL360 G7","P68"
"HP","sc9-vf-mgmt-02.vmware.com","ProLiant DL360 G7","P68"
"HP","sc9-vf-mgmt-03.vmware.com","ProLiant DL360 G7","P68"
"HP","sc9-mail-vmg1-10.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-9.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-1.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-2.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-3.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-4.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-12.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-8.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-7.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-11.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-6.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-mail-vmg1-5.vmware.com","ProLiant BL460c G7","I27"
"HP","osdc-msg1-7.vmware.com","ProLiant BL680c G5","I17"
