vendor,arrayname,assemblyname,emc_part_num,emc_assy_rev,emc_art_rev
"emc","osdc-cx3-20-02","CX3-20 SAN","100-561-860","A08","N/A"
"emc","osdc-cx3-20-02","CX3-20 SAN","100-561-860","A08","N/A"
"emc","osdc-cx3-80-01 Stage","HH  SAN SP 4X4GB FC 8X1 GB DIMMS","100-561-092","A11","N/A"
"emc","osdc-cx3-80-01 Stage","HH  SAN SP 4X4GB FC 8X1 GB DIMMS","100-561-092","A09","N/A"
"emc","osdc-cx3-40-02","CX3-40 SAN","100-561-855","A05","N/A"
"emc","osdc-cx3-40-02","CX3-40 SAN","100-561-855","A05","N/A"
"emc","View_2","BLACK WIDOW - VE CPU MODULE","110-093-000B","B18","N/A"
"emc","View_2","BLACK WIDOW - VE CPU MODULE","110-093-000B","B18","N/A"
"emc","osdc-cx3-80-05 Prod","CX3-10C SAN/ISCSI COMBO","100-561-294","A06","N/A"
"emc","osdc-cx3-80-05 Prod","CX3-10C SAN/ISCSI COMBO","100-561-294","A06","N/A"
"emc","sc9-ns4-960-01","WILDCAT-S SP CLOVERTOWN (16GB)","110-800-000C","C42","N/A"
"emc","sc9-ns4-960-01","WILDCAT-S SP CLOVERTOWN (16GB)","110-800-000C","C42","N/A"
"emc","wdc-cx3-80-71 Test/Dev","HH SANIV SP2 8X1GB DIMMS","100-562-152","A03","N/A"
"emc","wdc-cx3-80-71 Test/Dev","HH SANIV SP2 8X1GB DIMMS","100-562-152","A03","N/A"
"emc","osdc-cx3-40-01","CX3-40 SAN","100-561-855","A04","N/A"
"emc","osdc-cx3-40-01","CX3-40 SAN","100-561-855","A04","N/A"
"emc","osdc-cx3-20-03","CX3-20 SAN","100-561-063","A09","N/A"
"emc","osdc-cx3-20-03","CX3-20 SAN","100-561-063","A09","N/A"
"emc","View_1","BLACK WIDOW - VE CPU MODULE","110-093-000B","B18","N/A"
"emc","View_1","BLACK WIDOW - VE CPU MODULE","110-093-000B","B18","N/A"
"emc","osdc-cx3-20-01","CX3-20 SAN","100-561-860","A08","N/A"
"emc","osdc-cx3-20-01","CX3-20 SAN","100-561-063","A16","N/A"
"emc","wdc-cx3-80-12 Exchange","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-521","A03","N/A"
"emc","wdc-cx3-80-12 Exchange","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-521","A03","N/A"
"emc","wdc-cx4-2311","WILDCAT-S SP CLOVERTOWN (16GB)","110-800-000C","C44","N/A"
"emc","wdc-cx4-2311","WILDCAT-S SP CLOVERTOWN (16GB)","110-800-000C","C42","C01"
"emc","osdc-cx3-80-04 Exchange","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-521","A03","N/A"
"emc","osdc-cx3-80-04 Exchange","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-521","A03","N/A"
"emc","osdc-cx3-80-03 Prod","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-521","A03","N/A"
"emc","osdc-cx3-80-03 Prod","HH  SAN SP 4X4GB FC 8X1 GB DIMMS","100-561-092","A14","N/A"
"emc","prb-cx3-10-01 Infrastructure","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-152","A02","N/A"
"emc","prb-cx3-10-01 Infrastructure","HH SANIV SP2 8X1GB DIMMS NEBS","100-562-152","A02","N/A"
"emc","osdc-cx3-80-02 VDI PH3","HH SANIV SP2 8X1GB DIMMS","100-562-152","A03","N/A"
"emc","osdc-cx3-80-02 VDI PH3","HH SANIV SP2 8X1GB DIMMS","100-562-152","A03","N/A"
"emc","wdc-cx3-80-11 Prod","HH  SAN SP 4X4GB FC 8X1 GB DIMMS","100-561-092","A14","N/A"
"emc","wdc-cx3-80-11 Prod","HH  SAN SP 4X4GB FC 8X1 GB DIMMS","100-561-092","A14","N/A"
"emc","cx4-1870-spa (Zimbra/EXG)","WILDCAT-S SP CLOVERTOWN (16GB)","110-800-000C","C42","N/A"
"emc","cx4-1870-spa (Zimbra/EXG)","WILDCAT-S SP CLOVERTOWN (16GB)","110-800-000C","C43","N/A"
