vcserver,vmname,version,toolstatus,toolsversion,toolsrunningstatus
"vf-vcd-vc-01.vmware.com","dev-dhcp","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","stage-dhcp","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","test-dhcp","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","prod-dhcp","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","s2-casemgmt-dm0 (717d9e94-e826-4ee8-97ff-3e42e737e4fd)","v4","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","s2-tc-gsscm1 (21ded595-bf3d-40fe-971b-1961711b1cca)","v4","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","2044772698-obit-test2","v7","toolsNotRunning","8295","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","w2k8r2-x64-template","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1162950930-ConfigvAppTemplate_v1.0","v4","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0016866373-ConfigvApp","v4","toolsOld","8195","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1261929703-dev-casemgmt","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0749890406-obie-template3","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0899537545-vf-snode-1","v7","toolsOld","8194","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","CentOS-5.7-x86_64-template","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","CentOS-5.7-64-tpl (8bde05f3-9baf-4bd5-bc6d-9c0f8ac68619)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0463101773-casemgmt-001","v4","toolsOld","8195","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1649459303-db-mgmt-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0681558627-casemgmt-001","v4","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0433092207-srviewer-tc","v4","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1818179170-mysql-demo1","v7","toolsNotRunning","","guestToolsNotRunning"
