"vendor","model","qty","qty_3yrs_old","qty_4yrs_old","qty_5plus_yrs_old","budgetary_replace_unitcost"
"allied","AlliedTelBG","5","","","",""
"avaya","AvayaDV","1","","","",""
"avaya","AvayaRT","18","","","",""
"avaya","Cajun P330","6","","","",""
"brocade","CONTRX0000300","2","","","",""
"brocade","CONTRX0000410","10","","","",""
"brocade","CONTRX000048K","6","","","",""
"brocade","CONTRX0000510","1","","","",""
"brocade","CONTRX0000DCX","3","","","",""
"brocade","SLKWRM0000HP2","93","","","",""
"brocade","SP640-Y01A","2","","","",""
"cisco","Cat 3560E 12SD","1","","","",""
"cisco","Cat 4506E","2","","","",""
"cisco","Cat 4507RE","21","","","",""
"cisco","Cat 4510RE","11","","","",""
"cisco","Cat 4900M","1","","","",""
"cisco","Cat 65xx Virtual Switch","1","","","",""
"cisco","Cat295024C","1","","","",""
"cisco","Cat2960-48TT","3","","","",""
"cisco","Cat2960G-24TC","12","","","",""
"cisco","Cat2960G-48TC","12","","","",""
"cisco","Cat3560-24TS","1","","","",""
"cisco","Cat3560-48TS","7","","","",""
"cisco","Cat3560E24TD","2","","","",""
"cisco","Cat3560G-48PS","1","","","",""
"cisco","Cat3560_24PS","16","","","",""
"cisco","Cat3560_48PS","3","","","",""
"cisco","Cat37xxStack","140","","","",""
"cisco","Cat4507","1","","","",""
"cisco","Cat4948","10","","","",""
"cisco","Cat494810GE","4","","","",""
"cisco","Cat6506","25","","","",""
"cisco","Cat6509","65","","","",""
"cisco","Cat6513","1","","","",""
"cisco","Cat_2948G","2","","","",""
"cisco","Cat_2980GSW","2","","","",""
"cisco","Cisco 2921 K9","1","","","",""
"cisco","Cisco 3845nv","1","","","",""
"cisco","Cisco 3925 K9","3","","","",""
"cisco","Cisco 3945 K9","9","","","",""
"cisco","Cisco ASA5550","1","","","",""
"cisco","Cisco ASR 1002","3","","","",""
"cisco","Cisco ASR 9006","30","","","",""
"cisco","Cisco Nexus 7000","2","","","",""
"cisco","Cisco UCS 6100","4","","","",""
"cisco","Cisco1841","15","","","",""
"cisco","Cisco2811","1","","","",""
"cisco","Cisco2821","12","","","",""
"cisco","Cisco3825","3","","","",""
"cisco","Cisco3845","42","","","",""
"cisco","Cisco7206VXR","11","","","",""
"cisco","CiscoBG","1","","","",""
"cisco","CiscoIGESM","1","","","",""
"cisco","CiscoRT","2","","","",""
"cisco","CiscoRTR","1","","","",""
"cisco","CiscoWS3020Hpq","69","","","",""
"cisco","CiscoWSC6504E","1","","","",""
"cisco","N10-S6100","2","","","",""
"cisco","N10-S6200","2","","","",""
"cisco","R210-2121605W","3","","","",""
"dell","PowerEdge 1800","2","","","",""
"digital","Digital Products, Inc.RT","3","","","",""
"emc","CX3-10c","3","","","",""
"emc","CX3-20","9","","","",""
"emc","CX3-40","6","","","",""
"emc","CX3-80","24","","","",""
"emc","CX4-480","6","","","",""
"emc","CX4-960","9","","","",""
"emc","DD880","2","","","",""
"extreme","BlackDiamond 12804","12","","","",""
"extreme","BlackDiamond 6808","12","","","",""
"extreme","BlackDiamond 8810","63","","","",""
"extreme","Extreme Device","104","","","",""
"extreme","Summit 200-48","114","","","",""
"extreme","Summit 300-48","15","","","",""
"extreme","Summit 400-24","48","","","",""
"extreme","Summit 400-24t","1","","","",""
"extreme","Summit 400-48t","8","","","",""
"extreme","Summit 48i1u","2","","","",""
"extreme","Summit Ver2Stack","8","","","",""
"extreme","Summit X250-24p","8","","","",""
"extreme","Summit X250-48p","9","","","",""
"extreme","Summit X250-48t","177","","","",""
"extreme","Summit X450a-24t","45","","","",""
"extreme","Summit X450a-48t","308","","","",""
"extreme","Summit X450e-48p","90","","","",""
"extreme","SummitStack","1","","","",""
"f5","BIG-IP 1500","4","","","",""
"f5","BIG-IP 1600","4","","","",""
"f5","BIG-IP 3400","6","","","",""
"f5","BIG-IP 3600","9","","","",""
"f5","BIG-IP 8900","4","","","",""
"f5","BIG-IP LTM 6400","2","","","",""
"f5","BIGIP - 3400","2","","","",""
"f5","BIGIP - Virtual","2","","","",""
"f5","BIGIP LTM 6400","2","","","",""
"fortinet","Fortinet, Inc.RT","2","","","",""
"foundry","FoundryBG","3","","","",""
"hp","ProCurve Switch","3","","","",""
"hp","ProLiant BL460c G1","2","","","",""
"hp","ProLiant BL460c G7","30","","","",""
"hp","ProLiant BL490c G7","37","","","",""
"hp","ProLiant BL620c G7","6","","","",""
"hp","ProLiant BL680c G5","109","","","",""
"hp","ProLiant BL680c G7","4","","","",""
"hp","ProLiant BL685c G1","35","","","",""
"hp","ProLiant BL685c G6","24","","","",""
"hp","ProLiant BL685c G7","51","","","",""
"hp","ProLiant DL360 G7","3","","","",""
"hp","ProLiant DL365 G1","2","","","",""
"hp","ProLiant DL385 G2","1","","","",""
"hp","ProLiant DL585 G1","1","","","",""
"hp","ProLiant ML350 G6","2","","","",""
"juniper","J2300","3","","","",""
"juniper","J2320","3","","","",""
"juniper","J6350","47","","","",""
"juniper","JuniperRT","6","","","",""
"juniper","M10i","18","","","",""
"juniper","SRX240","18","","","",""
"silverpeak","Silver Peak Systems, Inc.RT","22","","","",""
"trapeze","RoamAbout Sw MXR2","1","","","",""
"trapeze","TrapezeBG","23","","","",""
"emc","VMAX 2314",1,,
"emc","VMAX 2875",1,,
"emc","VMAXe 0389",1,,
