vendor	model	versiontype	version
		biosversion	
allied	AlliedTelBG	version	
avamar	avamar client	version	3.7.1-100
avamar	avamar client	version	4.0.3-24
avamar	avamar client	version	4.1.100-1470
avamar	avamar client	version	4.1.101-340
avamar	avamar client	version	4.1.106-27
avamar	avamar client	version	5.0.101-32
avamar	avamar client	version	5.0.105-169
avamar	avamar client	version	5.0.106-28
avamar	avamar client	version	6.0.100-592
avamar	avamar client	version	unKnown 
avaya	AvayaDV	version	
avaya	AvayaRT	version	
avaya	Cajun P330	version	version
brocade	CONTRX0000300	version	v6.4.1b
brocade	CONTRX0000410	version	v6.2.0c
brocade	CONTRX0000410	version	v6.3.1a
brocade	CONTRX000048K	version	v6.2.1b
brocade	CONTRX000048K	version	v6.3.1a
brocade	CONTRX000048K	version	v6.4.1b
brocade	CONTRX0000510	version	v6.4.1b
brocade	CONTRX0000DCX	version	v6.3.0b
brocade	CONTRX0000DCX	version	v6.4.1b
brocade	SLKWRM0000HP2	version	v6.2.0c
brocade	SLKWRM0000HP2	version	v6.2.1b
brocade	SLKWRM0000HP2	version	v6.3.1c
brocade	SLKWRM0000HP2	version	v6.4.1a
brocade	SLKWRM0000HP2	version	v6.4.1b
brocade	SP640-Y01A	version	v6.4.1b
cisco	Cat 3560E 12SD	version	12.2(55)SE3
cisco	Cat 4506E	version	12.2(53)SG1
cisco	Cat 4507RE	version	12.2(53)SG
cisco	Cat 4507RE	version	12.2(53)SG1
cisco	Cat 4507RE	version	12.2(53)SG2
cisco	Cat 4507RE	version	15.0(2)SG
cisco	Cat 4507RE	version	15.0(2)SG1
cisco	Cat 4510RE	version	12.2(52)SG
cisco	Cat 4510RE	version	12.2(53)SG
cisco	Cat 4510RE	version	12.2(53)SG1
cisco	Cat 4510RE	version	15.0(2)SG1
cisco	Cat 4900M	version	12.2(53)SG1
cisco	Cat 65xx Virtual Switch	version	12.2(33)SXI5
cisco	Cat295024C	version	12.1(14)EA1a
cisco	Cat2960-48TT	version	12.2(35)SE1
cisco	Cat2960G-24TC	version	12.2(35)SE5
cisco	Cat2960G-24TC	version	12.2(55)SE3
cisco	Cat2960G-24TC	version	12.2(58)SE2
cisco	Cat2960G-48TC	version	12.2(25)SEE
cisco	Cat2960G-48TC	version	12.2(35)SE5
cisco	Cat2960G-48TC	version	12.2(58)SE2
cisco	Cat3560-24TS	version	12.2(35)SE5
cisco	Cat3560-48TS	version	12.2(25)SEE3
cisco	Cat3560-48TS	version	12.2(44)SE1
cisco	Cat3560-48TS	version	12.2(50)SE5
cisco	Cat3560-48TS	version	12.2(58)SE2
cisco	Cat3560E24TD	version	12.2(40)SE
cisco	Cat3560G-48PS	version	12.2(35)SE5
cisco	Cat3560_24PS	version	12.2(25)SEE3
cisco	Cat3560_24PS	version	12.2(35)SE5
cisco	Cat3560_24PS	version	12.2(46)SE
cisco	Cat3560_24PS	version	12.2(52)SE
cisco	Cat3560_48PS	version	12.2(25)SEB4
cisco	Cat3560_48PS	version	12.2(25)SEE2
cisco	Cat37xxStack	version	12.2(25)SEB4
cisco	Cat37xxStack	version	12.2(25)SED1
cisco	Cat37xxStack	version	12.2(25)SEE2
cisco	Cat37xxStack	version	12.2(25)SEE3
cisco	Cat37xxStack	version	12.2(25)SEE4
cisco	Cat37xxStack	version	12.2(35)SE
cisco	Cat37xxStack	version	12.2(35)SE2
cisco	Cat37xxStack	version	12.2(35)SE5
cisco	Cat37xxStack	version	12.2(37)SE1
cisco	Cat37xxStack	version	12.2(40)SE
cisco	Cat37xxStack	version	12.2(44)SE2
cisco	Cat37xxStack	version	12.2(46)SE
cisco	Cat37xxStack	version	12.2(50)SE1
cisco	Cat37xxStack	version	12.2(50)SE3
cisco	Cat37xxStack	version	12.2(50)SE5
cisco	Cat37xxStack	version	12.2(52)SE
cisco	Cat37xxStack	version	12.2(53)SE
cisco	Cat37xxStack	version	12.2(53)SE2
cisco	Cat37xxStack	version	12.2(55)SE
cisco	Cat37xxStack	version	12.2(55)SE1
cisco	Cat37xxStack	version	12.2(55)SE3
cisco	Cat37xxStack	version	12.2(58)SE1
cisco	Cat37xxStack	version	15.0(1)SE
cisco	Cat4507	version	12.2(53)SG2
cisco	Cat4948	version	12.2(25)EWA8
cisco	Cat4948	version	12.2(31)SGA4
cisco	Cat4948	version	12.2(37)SG1
cisco	Cat4948	version	12.2(54)SG
cisco	Cat494810GE	version	12.2(25)EWA10
cisco	Cat494810GE	version	12.2(25)EWA8
cisco	Cat494810GE	version	12.2(25)EWA9
cisco	Cat6506	version	12.2(33)SXH1
cisco	Cat6506	version	12.2(33)SXI4a
cisco	Cat6509	version	12.2(18)SXF
cisco	Cat6509	version	12.2(18)SXF11
cisco	Cat6509	version	12.2(18)SXF13
cisco	Cat6509	version	12.2(18)SXF15a
cisco	Cat6509	version	12.2(18)SXF17
cisco	Cat6509	version	12.2(18)SXF17a
cisco	Cat6509	version	12.2(18)SXF5
cisco	Cat6509	version	12.2(18)SXF9
cisco	Cat6509	version	12.2(33)SXH1
cisco	Cat6509	version	12.2(33)SXH3
cisco	Cat6509	version	12.2(33)SXH5
cisco	Cat6509	version	12.2(33)SXH8a
cisco	Cat6509	version	12.2(33)SXI2a
cisco	Cat6509	version	12.2(33)SXI3
cisco	Cat6509	version	12.2(33)SXI4a
cisco	Cat6509	version	12.2(33)SXI6
cisco	Cat6509	version	12.2(33)SXJ1
cisco	Cat6513	version	12.2(33)SXH
cisco	Cat_2948G	version	8.4(9)GLX
cisco	Cat_2980GSW	version	8.4(9)GLX
cisco	Cisco 2921 K9	version	15.1(4)M2
cisco	Cisco 3845nv	version	15.1(4)M1
cisco	Cisco 3925 K9	version	15.0(1)M2
cisco	Cisco 3925 K9	version	15.0(1)M4
cisco	Cisco 3925 K9	version	15.1(1)T1
cisco	Cisco 3945 K9	version	15.0(1)M1
cisco	Cisco 3945 K9	version	15.0(1)M2
cisco	Cisco 3945 K9	version	15.1(2)T2
cisco	Cisco 3945 K9	version	15.1(3)T1
cisco	Cisco 3945 K9	version	15.1(4)M1
cisco	Cisco 3945 K9	version	15.1(4)M2
cisco	Cisco ASA5550	version	8.2(1)18
cisco	Cisco ASR 1002	version	15.0(1)S1
cisco	Cisco ASR 9006	version	3.9.1[00]
cisco	Cisco Nexus 7000	version	5.1(3)
cisco	Cisco UCS 6100	version	4.1(3)N2(1.3m)
cisco	Cisco UCS 6100	version	4.2(1)N1(1.43m)
cisco	Cisco1841	version	12.4(15)T7
cisco	Cisco1841	version	12.4(21a)
cisco	Cisco1841	version	12.4(23)
cisco	Cisco1841	version	12.4(25)
cisco	Cisco1841	version	12.4(25a)
cisco	Cisco1841	version	12.4(25e)
cisco	Cisco1841	version	12.4(3i)
cisco	Cisco2811	version	12.4(13d)
cisco	Cisco2821	version	12.4(13d)
cisco	Cisco2821	version	12.4(20)T1
cisco	Cisco2821	version	12.4(25e)
cisco	Cisco2821	version	12.4(3i)
cisco	Cisco2821	version	12.4(7a)
cisco	Cisco2821	version	12.4(9)T1
cisco	Cisco3825	version	12.4(24)T3
cisco	Cisco3825	version	12.4(4)T
cisco	Cisco3845	version	12.4(12)
cisco	Cisco3845	version	12.4(15)T10
cisco	Cisco3845	version	12.4(15)T12
cisco	Cisco3845	version	12.4(16)
cisco	Cisco3845	version	12.4(16a)
cisco	Cisco3845	version	12.4(16b)
cisco	Cisco3845	version	12.4(18)
cisco	Cisco3845	version	12.4(19)
cisco	Cisco3845	version	12.4(23)
cisco	Cisco3845	version	12.4(24)T2
cisco	Cisco3845	version	12.4(25b)
cisco	Cisco3845	version	12.4(3)
cisco	Cisco3845	version	12.4(4)T
cisco	Cisco3845	version	12.4(5b)
cisco	Cisco3845	version	12.4(9)T5
cisco	Cisco3845	version	12.4(9)T6
cisco	Cisco3845	version	15.0(1)M3
cisco	Cisco3845	version	15.0(1)M4
cisco	Cisco3845	version	15.1(4)M1
cisco	Cisco7206VXR	version	12.4(15)T1
cisco	Cisco7206VXR	version	12.4(15)T11
cisco	Cisco7206VXR	version	12.4(24)T3
cisco	Cisco7206VXR	version	12.4(9)T1
cisco	Cisco7206VXR	version	15.0(1)S1
cisco	CiscoBG	version	12.2(53)SE2
cisco	CiscoIGESM	version	12.1(22)EA6a
cisco	CiscoRT	version	3.2(2c)
cisco	CiscoRTR	version	12.4(15)T10
cisco	CiscoWS3020Hpq	version	12.2(35)SE
cisco	CiscoWS3020Hpq	version	12.2(37)SE1
cisco	CiscoWS3020Hpq	version	12.2(40)SE1
cisco	CiscoWS3020Hpq	version	12.2(40)SE2
cisco	CiscoWS3020Hpq	version	12.2(46)SE
cisco	CiscoWS3020Hpq	version	12.2(53)SE1
cisco	CiscoWSC6504E	version	12.2(33)SXI4a
cisco	N10-S6100	version	
cisco	N10-S6200	version	
cisco	R210-2121605W	biosversion	C200.1.2.1a.0.080820102357
cisco	R210-2121605W	biosversion	C200.1.4.1.0.071320110702
dell	PowerEdge 1800	biosversion	
dell	PowerEdge 1800	biosversion	A05
digital	Digital Products, Inc.RT	version	
