vendor	device	model	versiontype	version
avamar	10.128.95.247	avamar client	version	unKnown 
avamar	3210-dns-2.vmware.com	avamar client	version	4.1.101-340
avamar	abdon	avamar client	version	unKnown 
avamar	ad-otrs.vmware.com	avamar client	version	6.0.100-592
avamar	ad-otrs.vmware.com2011.02.07.08.30.30	avamar client	version	4.1.100-1470
avamar	advantech-db-1	avamar client	version	unKnown 
avamar	advantech-db-1.vmware.com	avamar client	version	6.0.100-592
avamar	advantech-um.vmware.com	avamar client	version	4.0.3-24
avamar	advantech-vc-1	avamar client	version	6.0.100-592
avamar	advantech-vc-1.vmware.com2010.09.23.11.09.29	avamar client	version	5.0.105-169
avamar	advantech-vdm-1.vmware.com2011.02.22.15.54.14	avamar client	version	4.0.3-24
avamar	akamai-gate.vmware.com	avamar client	version	6.0.100-592
avamar	akamai-logs.vmware.com	avamar client	version	6.0.100-592
avamar	akamai.vmware.com	avamar client	version	5.0.106-28
avamar	alliances-salesforce-tap.vmware.com	avamar client	version	6.0.100-592
avamar	alliances-salesforce-tap.vmware.com2011.02.07.08.36.55	avamar client	version	4.1.101-340
avamar	alpineapp1.vmware.com	avamar client	version	3.7.1-100
avamar	arbus-prod-db1.vmware.com	avamar client	version	5.0.106-28
avamar	askvmware-poc.vmware.com	avamar client	version	4.1.101-340
avamar	askvmware-prod-a1.vmware.com	avamar client	version	5.0.106-28
avamar	askvmware-prod-d1.vmware.com	avamar client	version	5.0.106-28
avamar	askvmware-prod-w1.vmware.com	avamar client	version	6.0.100-592
avamar	at-view-cs01	avamar client	version	unKnown 
avamar	at-view-cs02	avamar client	version	unKnown 
avamar	at-view-cs03	avamar client	version	unKnown 
avamar	at-view-cs04	avamar client	version	unKnown 
avamar	atlas-dev.vmware.com	avamar client	version	3.7.1-100
avamar	atlas.vmware.com	avamar client	version	3.7.1-100
avamar	atlasdb-dev.vmware.com	avamar client	version	3.7.1-100
avamar	atlasdb.vmware.com	avamar client	version	3.7.1-100
avamar	auburn.vmware.com	avamar client	version	3.7.1-100
avamar	ausit-p390.vmware.com	avamar client	version	4.1.101-340
avamar	avamar-win-proxy-4.vmware.com	avamar client	version	5.0.106-28
avamar	avamar-win-proxy1.vmware.com	avamar client	version	5.0.106-28
avamar	avamar-win-proxy2.vmware.com	avamar client	version	5.0.106-28
avamar	avamar-win-proxy3.vmware.com	avamar client	version	5.0.106-28
avamar	avamar2tape	avamar client	version	4.0.3-24
avamar	avamar2tape.vmware.com	avamar client	version	4.0.3-24
avamar	avepoint01.vmware.com	avamar client	version	5.0.106-28
avamar	avepoint01.vmware.com2011.02.25.15.19.06	avamar client	version	4.1.101-340
