org,ovdc,storage-pct,mem-pct,cpu-pct,storageGB-limit,storageGB-alloc,storageGB-used,storageGB-free,memGB-limit,memGB-alloc,memGB-used,memGB-free,cpu-limit,cpu-alloc,cpu-used
corpit-nonsdlc,CorpIT-NonSDLC-MSSQL-PAYG1,74%,77%,31%,121208,-1,90021,31187,1837,0,1418,419,5511,0,1728
corpit-nonsdlc,CorpIT-NonSDLC-PAYG1-ovDC,65%,93%,91%,470907,-1,308189,162718,6462,0,5983,479,7050,0,6447
corpit-nonsdlc,CorpIT-NonSDLC-Windows-PAYG1,87%,95%,64%,80889,-1,70703,10186,3862,0,3680,182,3150,0,2004
corpittest,CorpITTest11-Allocation1-ovDC,12%,97%,48%,200000,-1,24745,175255,800,800,779,21,400,400,192
corpittest,CorpITTest12-Allocation1-ovDC,16%,95%,45%,77613,-1,12660,64953,550,550,522,28,250,250,112
corpittest,CorpITTest13-Allocation1-ovDC,2%,30%,27%,152000,-1,3385,148615,800,800,238,562,175,175,47
corpittest,CorpITTest14-Allocation1-ovDC,10%,93%,76%,152000,-1,15452,136548,600,600,557,43,175,175,133
corpittest,CorpITTest15-Allocation1-ovDC,12%,98%,66%,114000,-1,13434,100566,550,550,538,12,175,175,115
corpittest,CorpITTest16-Allocation1-ovDC,21%,98%,67%,114000,-1,23957,90043,600,600,587,13,175,175,118
corpittest,CorpITTest17-Allocation1-ovDC,34%,92%,36%,62048,-1,20835,41213,1000,1000,918,82,500,500,179
corpittest,CorpITTest19-Allocation1-ovDC,27%,92%,46%,40000,-1,10767,29233,450,450,414,36,200,200,92
corpittest,CorpITTest31-Allocation1-ovDC,12%,85%,38%,152000,-1,17716,134284,500,500,424,76,250,250,96
corpittest,CorpITTest32-Allocation1-ovDC,20%,50%,25%,4839,-1,990,3849,64,64,32,32,32,32,8
corpittest,CorpITTestCatalog-Allocation1-ovDC,47%,0%,0%,20000,-1,9314,10686,32,32,0,32,16,16,0
corpittest,CorpITUAT2-Allocation1-ovDC,0%,1%,1%,60000,-1,206,59794,630,630,4,626,255,255,2
corpittest,US01-C4-CorpITTest20-TR-OVDC1,57%,89%,46%,20000,-1,11433,8567,450,450,402,48,200,200,93
corpittest,US01-C4-CorpITTest21-TR-OVDC21,69%,96%,50%,20000,-1,13820,6180,450,450,432,18,200,200,100
corpittest,us01-c4-CorpITTest33-TR-OvDC-33,62%,95%,52%,20000,-1,12354,7646,500,500,476,24,200,200,104
corpittest,us01-c4-CorpITTest34-TR-OvDC-34,65%,22%,9%,20000,-1,13049,6951,400,400,86,314,200,200,18
corpittest,US01-C4-CorpITTest40-TR-OVDC40,98%,80%,66%,22000,-1,21491,509,900,900,718,182,200,200,132
corpittest,US01-C4-CorpITTest50-TR-ovdc-1,56%,53%,23%,25000,-1,14007,10993,900,900,473,427,450,450,102
corpitdev,CorpITDev11-Allocation1-ovDC,33%,97%,45%,58000,-1,19105,38895,584,584,564,20,292,292,132
corpitdev,CorpITDev12-Allocation1-ovDC,18%,97%,57%,74000,-1,13169,60831,450,450,435,15,175,175,99
corpitdev,CorpITDev13-Allocation1-ovDC,32%,81%,56%,40000,-1,12726,27274,450,450,363,87,146,146,82
corpitdev,CorpITDev14-Allocation1-ovDC,29%,94%,71%,40000,-1,11704,28296,450,450,423,27,146,146,104
corpitdev,CorpITDev15-Allocation1-ovDC,68%,94%,75%,20000,-1,13543,6457,500,500,469,31,146,146,110
corpitdev,CorpITDev16-Allocation1-ovDC,64%,91%,68%,20000,-1,12812,7188,450,450,411,39,146,146,99
corpitdev,CorpITDevCatalog-Allocation1-ovDC,51%,0%,0%,20000,-1,10183,9817,1,1,0,1,1,1,0
corpitdev,CorpITDevCatalog-Allocation1-ovDC2,%,0%,0%,0,-1,0,0,1,1,0,1,1,1,0
corpitdev,CorpITTest99-Allocation1-ovDC,63%,91%,56%,20000,-1,12530,7470,550,550,498,52,200,200,112
corpitdev,us01-c2-corpitdev45-tr-ovdc,67%,90%,40%,20000,-1,13390,6610,500,500,448,52,250,250,100
corpitpoc,CorpITPoc-Allocation1-ovDC,8%,60%,10%,118000,-1,9590,108410,500,500,302,198,500,500,48
corpitopssandbox,CorpITOpsSandbox-Allocation1-ovDC,20%,39%,19%,86120,-1,17311,68809,642,642,252,390,321,321,60
MyLearn,MyLearn-NonWindows-PAYG1-ovDC,52%,85%,62%,2250,-1,1170,1080,20,0,17,3,48,0,30
MyLearn,MyLearn-SQL-PAYG1-ovDC,66%,57%,37%,7000,-1,4623,2377,100,0,57,43,210,0,78
MyLearn,MyLearn-Windows-PAYG1-ovDC,95%,76%,65%,8000,-1,7626,374,170,0,130,40,300,0,195
vchs-corpit-test11,MyLearn-NonWindows-PAYG1-ovDC,52%,85%,62%,2250,-1,1170,1080,20,0,17,3,48,0,30
vchs-corpit-test11,MyLearn-SQL-PAYG1-ovDC,66%,57%,37%,7000,-1,4623,2377,100,0,57,43,210,0,78
vchs-corpit-test11,MyLearn-Windows-PAYG1-ovDC,95%,76%,65%,8000,-1,7626,374,170,0,130,40,300,0,195
vchs-corpit-sbox,MyLearn-NonWindows-PAYG1-ovDC,52%,85%,62%,2250,-1,1170,1080,20,0,17,3,48,0,30
vchs-corpit-sbox,MyLearn-SQL-PAYG1-ovDC,66%,57%,37%,7000,-1,4623,2377,100,0,57,43,210,0,78
vchs-corpit-sbox,MyLearn-Windows-PAYG1-ovDC,95%,76%,65%,8000,-1,7626,374,170,0,130,40,300,0,195
