VM name,status,Date Created,OS,memGB,diskGB,IP,vApp name,vApp status,Application,Application Owner,Owner Email,OrgVDC,Organization,VM description,vApp description
10.127.239.150,PoweredOff,,Red Hat Enterprise Linux 7 (64-bit),0.00390625,0,10.127.239.150,IP reserver - do not delete,PoweredOff,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"","This vAPP contains dummy VMs with IP address allocated to eliminate IP duplication"
10-mon-web-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,99,10.127.242.87,appd-BASE_DB_MYSQL_5612-1.0.0-rpothukuchi-2144-7a369ae9-d4b3-4258-943a-32112c4901d2,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
advanced-analytics-app-1,PoweredOn,,Red Hat Enterprise Linux 6 (64-bit),256,1296,10.127.241.129,Analytics-app,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
advanced-analytics-app-2,PoweredOn,,Red Hat Enterprise Linux 6 (64-bit),128,1166,10.127.241.161,Analytics-app,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
ADV-ANLY-APP-2,PoweredOn,,Microsoft Windows Server 2012 (64-bit),128,1040,10.127.234.215,ADV-ANLY-APP-2,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"",""
aloha-dev1-vco-1,PoweredOn,,SUSE Linux Enterprise 11 (64-bit),3,47,10.127.242.36,Aloha,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"Automate tasks for VMware vSphere and enable orchestration between multiple solutions. VMware vCenter Orchestrator allows administrators to capture their best practices and turn them into automated workflows.",""
aloha-dev1-w1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),4,140,10.127.239.59,aloha-dev1-w1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
aloha-dev-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,73,10.127.242.90,Aloha Non-Prod servers,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-dev-psql-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,300,10.127.242.105,Aloha Non-Prod servers,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
Aloha-dev-vco-1new,PoweredOn,,SUSE Linux Enterprise 11 (64-bit),3,47,10.127.242.99,Aloha_VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"This appliance migrated from wdc-cf-vc-1.",""
aloha-dev-vco-1-new,PoweredOff,,CentOS 4/5/6/7 (64-bit),4,73,,Aloha_VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-qa-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,73,10.127.242.91,Aloha Non-Prod servers,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-qa-psql-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,300,10.127.242.93,Aloha Non-Prod servers,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-qa-vco-1new,PoweredOn,,SUSE Linux Enterprise 11 (64-bit),3,47,10.127.242.100,Aloha_VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"Automate tasks for VMware vSphere and enable orchestration between multiple solutions. VMware vCenter Orchestrator allows administrators to capture their best practices and turn them into automated workflows.",""
aloha-qa-vco-1-new,PoweredOff,,CentOS 4/5/6/7 (64-bit),4,73,,Aloha_VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-test-app1,PoweredOn,,Other Linux (64-bit),3,52,10.127.241.32,Aloha,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-test-app2,PoweredOn,,Other Linux (64-bit),3,52,10.127.241.34,Aloha,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-test-w1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),4,60,10.127.234.89,aloha-test-w1,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"",""
aloha-test-w2,PoweredOn,,Microsoft Windows Server 2008 (64-bit),4,60,10.127.234.90,aloha-test-w2,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"",""
aloha-uat-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,73,10.127.242.92,Aloha Non-Prod servers,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-uat-app-1-clone,PoweredOff,,CentOS 4/5/6/7 (64-bit),4,73,,aloha-uat-clone,PoweredOff,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-uat-psql-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,300,10.127.242.94,Aloha Non-Prod servers,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-uat-psql-1-clone,PoweredOff,,CentOS 4/5/6/7 (64-bit),4,300,,aloha-uat-clone,PoweredOff,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
aloha-uat-vco-1new,PoweredOn,,SUSE Linux Enterprise 11 (64-bit),3,47,10.127.242.101,Aloha_VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"Automate tasks for VMware vSphere and enable orchestration between multiple solutions. VMware vCenter Orchestrator allows administrators to capture their best practices and turn them into automated workflows.",""
aloha-uat-vco-1-new,PoweredOff,,CentOS 4/5/6/7 (64-bit),4,73,,Aloha_VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
alovco-poc-psql,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,212,10.127.242.132,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
apim-dev-mysql,PoweredOn,,CentOS 4/5/6/7 (64-bit),16,1049,10.127.240.102,SDP_DEV,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
apim-stage-mysql,PoweredOff,,CentOS 4/5/6/7 (64-bit),16,1049,,Mysql,PoweredOff,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
apim-test-mysql,PoweredOn,,CentOS 4/5/6/7 (64-bit),16,1049,10.127.240.144,SDP_DEV,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
apim-uat-mysql,PoweredOn,,CentOS 4/5/6/7 (64-bit),64,1049,10.127.239.88,SDP_UAT,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"","This Vapp is created for SDP project.

-Sudhir."
app-dev-eepn-a1,PoweredOn,,Other 2.6.x Linux (64-bit),2,4006,10.127.240.65,APP-DEV-EEPN,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
app-dev-eepn-a3,PoweredOn,,CentOS 4/5/6/7 (64-bit),16,7027,10.127.240.182,APP-DEV-EEPN,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
apts-dev-sql,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,140,10.127.239.8,apts-dev-sql,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"a",""
APTS-uat-SQL,PoweredOn,,Microsoft Windows Server 2008 (64-bit),4,105,10.127.239.58,ECMS BCP - SQL,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"","HZ#INCTSK0176738;owner: Vinod Manuel Thanapaul"
