"timestamp","vcserver","datacenter"
"2011-11-21 02:02:27","vf-vcd-vc-01.vmware.com","vCloudCompute01"
"2011-11-21 02:02:46","vf-view-vc.vmware.com","vCloudView"
"2011-11-21 02:02:46","vf-mgmt-vc.vmware.com","Management"
"2011-11-21 02:02:46","sc9-srm-vc-1.vmware.com","SantaClara"
"2011-11-21 02:02:47","osdc-srm-vc-1.vmware.com","PaloAlto"
"2011-11-21 02:03:02","wdc-srm-vc-1.vmware.com","Wenatchee"
"2011-11-21 02:03:03","wdc-srm-vc-2.vmware.com","WDC"
"2011-11-21 02:03:03","advantech-vc-1.vmware.com","AdvantechView"
"2011-11-21 02:03:26","lm-vc.vmware.com","WDC"
"2011-11-21 02:03:26","vmview-vc-1.vmware.com","Santa Clara"
"2011-11-21 02:03:27","vc-dev-1.vmware.com","North America Remote Sites"
"2011-11-21 02:03:27","vc-dev-1.vmware.com","Palo Alto"
"2011-11-21 02:03:27","vc-dev-1.vmware.com","SC9"
"2011-11-21 02:03:28","vc-prod-1.vmware.com","North America Remote Sites"
"2011-11-21 02:03:28","vc-prod-1.vmware.com","Palo Alto"
"2011-11-21 02:03:28","vc-prod-1.vmware.com","Santa Clara"
