"vcserver","datacenter","vmhost","vswitch","portgroup"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-01.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-02.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-03.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-04.vmware.com","vSwitch0","VM Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-05.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-06.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-07.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-08.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-09.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-10.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-11.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-13.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-14.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-15.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-16.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-12.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-02.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-01.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-03.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-04.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-05.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-06.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-07.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum2-08.vmware.com",,
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-01.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-01.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-01.vmware.com","vSwitch1","gp-interconnect1"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-01.vmware.com","vSwitch2","gp-interconnect2"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-02.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-02.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-02.vmware.com","vSwitch1","gp-interconnect1"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-02.vmware.com","vSwitch2","gp-interconnect2"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-03.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-03.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-03.vmware.com","vSwitch1","gp-interconnect1"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-03.vmware.com","vSwitch2","gp-interconnect2"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-05.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-05.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-05.vmware.com","vSwitch1","gp-interconnect1"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-05.vmware.com","vSwitch2","gp-interconnect2"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-04.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-04.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-04.vmware.com","vSwitch1","gp-interconnect1"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-04.vmware.com","vSwitch2","gp-interconnect2"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-06.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-06.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-06.vmware.com","vSwitch1","gp-interconnect1"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-06.vmware.com","vSwitch2","gp-interconnect2"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-07.vmware.com","vSwitch0","wdc-qa-greenplum-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-07.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-qa-greenplum1-07.vmware.com","vSwitch1","gp-interconnect1"
