"VCServer","Datacenter","Cluster","TimeStamp","MetricId","Value","Unit"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 8:00:00 PM","cpu.usage.average","10.88","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 7:30:00 PM","cpu.usage.average","10.76","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 7:00:00 PM","cpu.usage.average","10.91","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 6:30:00 PM","cpu.usage.average","10.87","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 6:00:00 PM","cpu.usage.average","11.81","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 5:30:00 PM","cpu.usage.average","16.06","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 5:00:00 PM","cpu.usage.average","14.37","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 4:30:00 PM","cpu.usage.average","10.76","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 4:00:00 PM","cpu.usage.average","10.86","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 3:30:00 PM","cpu.usage.average","12.72","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 3:00:00 PM","cpu.usage.average","11.29","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 2:30:00 PM","cpu.usage.average","10.71","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 2:00:00 PM","cpu.usage.average","11.12","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 1:30:00 PM","cpu.usage.average","12.53","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 1:00:00 PM","cpu.usage.average","12.41","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 12:30:00 PM","cpu.usage.average","11.41","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 12:00:00 PM","cpu.usage.average","11.29","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 11:30:00 AM","cpu.usage.average","11.57","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 11:00:00 AM","cpu.usage.average","11.59","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 10:30:00 AM","cpu.usage.average","11.43","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 10:00:00 AM","cpu.usage.average","11.51","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 9:30:00 AM","cpu.usage.average","11.22","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 9:00:00 AM","cpu.usage.average","11.63","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 8:30:00 AM","cpu.usage.average","11.59","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 8:00:00 AM","cpu.usage.average","11.53","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 7:30:00 AM","cpu.usage.average","11.66","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 7:00:00 AM","cpu.usage.average","11.44","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 6:30:00 AM","cpu.usage.average","10.6","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 6:00:00 AM","cpu.usage.average","11.21","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 5:30:00 AM","cpu.usage.average","11.02","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 5:00:00 AM","cpu.usage.average","10.78","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 4:30:00 AM","cpu.usage.average","12.08","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 4:00:00 AM","cpu.usage.average","13.89","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 3:30:00 AM","cpu.usage.average","12.82","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 3:00:00 AM","cpu.usage.average","12.15","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 2:30:00 AM","cpu.usage.average","13.79","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 2:00:00 AM","cpu.usage.average","20.89","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 1:30:00 AM","cpu.usage.average","19.4","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 1:00:00 AM","cpu.usage.average","16.64","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 12:30:00 AM","cpu.usage.average","24.48","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/17/2013 12:00:00 AM","cpu.usage.average","20.47","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 11:30:00 PM","cpu.usage.average","15.12","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 11:00:00 PM","cpu.usage.average","16.53","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 10:30:00 PM","cpu.usage.average","16.47","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 10:00:00 PM","cpu.usage.average","12.48","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 9:30:00 PM","cpu.usage.average","11.46","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 9:00:00 PM","cpu.usage.average","11.24","%"
"lm-vc.vmware.com","WDC","wdc-labmanager1","3/16/2013 8:30:00 PM","cpu.usage.average","11.38","%"
