"VCServer","Datacenter","Cluster","Host","TimeStamp","MetricId","Value","Unit"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 8:00:00 PM","cpu.usage.average","16.58","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 7:30:00 PM","cpu.usage.average","16.58","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 7:00:00 PM","cpu.usage.average","16.67","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 6:30:00 PM","cpu.usage.average","16.78","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 6:00:00 PM","cpu.usage.average","16.85","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 5:30:00 PM","cpu.usage.average","17.14","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 5:00:00 PM","cpu.usage.average","16.87","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 4:30:00 PM","cpu.usage.average","16.92","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 4:00:00 PM","cpu.usage.average","17.19","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 3:30:00 PM","cpu.usage.average","16.73","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 3:00:00 PM","cpu.usage.average","17.07","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 2:30:00 PM","cpu.usage.average","16.31","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 2:00:00 PM","cpu.usage.average","16.43","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 1:30:00 PM","cpu.usage.average","16.39","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 1:00:00 PM","cpu.usage.average","16.73","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 12:30:00 PM","cpu.usage.average","16.43","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 12:00:00 PM","cpu.usage.average","16.52","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 11:30:00 AM","cpu.usage.average","16.31","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 11:00:00 AM","cpu.usage.average","16.47","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 10:30:00 AM","cpu.usage.average","16.41","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 10:00:00 AM","cpu.usage.average","16.62","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 9:30:00 AM","cpu.usage.average","16.69","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 9:00:00 AM","cpu.usage.average","16.79","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 8:30:00 AM","cpu.usage.average","16.83","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 8:00:00 AM","cpu.usage.average","16.81","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 7:30:00 AM","cpu.usage.average","16.83","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 7:00:00 AM","cpu.usage.average","16.84","%"
"vmview-vc-1.vmware.com","Santa Clara","View-vmg2","view-vmg2-1.vmware.com","3/17/2013 6:30:00 AM","cpu.usage.average","16.6","%"
