"vcserver","datacenter","vmhost","vmname","timestamp","username","eventmsg","tag","event_type"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-cat1-01.vmware.com","rhel5.5-x86_64-templ-9400762a-30be-4b88-a847-6cf9dfafb72a","4/27/2011 5:41:30 PM","","Created virtual machine rhel5.5-x86_64-templ-9400762a-30be-4b88-a847-6cf9dfafb72a on sc9-vf-cat1-01.vmware.com in vCloudCompute01",,"VmCreatedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-cat1-01.vmware.com","rhel5.5-x86_64-templ","4/29/2011 8:21:35 PM","VMWAREM\vf-vcadmin","Removed rhel5.5-x86_64-templ on sc9-vf-cat1-01.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1601956937-MktBI_Db","4/30/2011 5:42:31 PM","VMWAREM\vf-vcadmin","Clone of 1601956937-MktBI_Db completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1568980503-ora-mkt-db1","4/30/2011 5:49:41 PM","VMWAREM\vf-vcadmin","Clone of 1568980503-ora-mkt-db1 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1568980503-ora-mkt-db1","4/30/2011 6:45:28 PM","VMWAREM\vf-vcadmin","Removed 1568980503-ora-mkt-db1 on sc9-vf-dev1-02.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1601956937-MktBI_Db","4/30/2011 6:45:55 PM","VMWAREM\vf-vcadmin","Removed 1601956937-MktBI_Db on sc9-vf-dev1-02.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","1687331823-MktBI_Db","4/30/2011 7:02:25 PM","VMWAREM\vf-vcadmin","Clone of 1687331823-MktBI_Db completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1891111218-ora-mkt-db3","4/30/2011 10:11:41 PM","VMWAREM\vf-vcadmin","Clone of 1891111218-ora-mkt-db3 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1891111218-ora-mkt-db3","4/30/2011 11:57:09 PM","VMWAREM\vf-vcadmin","Removed 1891111218-ora-mkt-db3 on sc9-vf-dev1-02.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","1687331823-MktBI_Db","4/30/2011 11:58:19 PM","VMWAREM\vf-vcadmin","Removed 1687331823-MktBI_Db on sc9-vf-dev1-01.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","1939274240-MktBI_Db","5/1/2011 12:04:24 AM","VMWAREM\vf-vcadmin","Clone of 1939274240-MktBI_Db completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1038459834-ora-mkt-d3","5/1/2011 12:11:51 AM","VMWAREM\vf-vcadmin","Clone of 1038459834-ora-mkt-d3 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1038459834-ora-mkt-d3","5/1/2011 2:07:37 AM","VMWAREM\vf-vcadmin","Removed 1038459834-ora-mkt-d3 on sc9-vf-dev1-02.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","1939274240-MktBI_Db","5/1/2011 2:12:13 AM","VMWAREM\vf-vcadmin","Removed 1939274240-MktBI_Db on sc9-vf-dev1-01.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","1788519468-MktBI_Db","5/1/2011 2:18:37 AM","VMWAREM\vf-vcadmin","Clone of 1788519468-MktBI_Db completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","0569338622-ora-mkt-db5","5/1/2011 2:35:53 AM","VMWAREM\vf-vcadmin","Clone of 0569338622-ora-mkt-db5 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-cat1-02.vmware.com","w2k8r2-x64-template-688ab6c0-7800-4ec0-b3c2-dd90ccef5324","5/2/2011 6:13:48 AM","","Created virtual machine w2k8r2-x64-template-688ab6c0-7800-4ec0-b3c2-dd90ccef5324 on sc9-vf-cat1-02.vmware.com in vCloudCompute01",,"VmCreatedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","0351148833-mysql-base_v2","5/3/2011 5:13:35 AM","VMWAREM\vf-vcadmin","Clone of 0351148833-mysql-base_v2 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1425975656-mysql-dev-db1","5/3/2011 5:17:58 AM","VMWAREM\vf-vcadmin","Clone of 1425975656-mysql-dev-db1 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-01.vmware.com","0351148833-mysql-base_v2","5/3/2011 2:47:45 PM","VMWAREM\vf-vcadmin","Removed 0351148833-mysql-base_v2 on sc9-vf-dev1-01.vmware.com from vCloudCompute01",,"VmRemovedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","1600975040-mysql-base_v2","5/3/2011 2:51:10 PM","VMWAREM\vf-vcadmin","Clone of 1600975040-mysql-base_v2 completed",,"VmClonedEvent"
"vf-vcd-vc-01.vmware.com","vCloudCompute01","sc9-vf-dev1-02.vmware.com","0594245160-ora-mysql-db4","5/3/2011 2:55:50 PM","VMWAREM\vf-vcadmin","Clone of 0594245160-ora-mysql-db4 completed",,"VmClonedEvent"
