"timestamp","vmhost","pnic","speed","macaddress","peerdeviceid","peeripaddress","peerportid","observed","vlan","datacenter"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic0","10000","f0:92:1c:02:0f:38","rce02-prod-eat1(TBM16084399)","10.129.255.4","Ethernet11/1","10.113.60.1-10.113.61.254 10.113.128.1-10.113.135.254 10.113.160.1-10.113.191.254 10.113.52.1-10.113.52.254 10.119.41.29-10.119.41.29 10.128.10.1-10.128.10.254 10.113.47.1-10.113.47.0 10.128.242.130-10.128.242.130 10.113.12.1-10.113.12.31 0.0.0.1-255.255.255.254 10.128.212.92-10.128.212.93 10.128.125.1-10.128.125.15 10.113.14.1-10.113.14.254 10.128.188.1-10.128.188.31 10.119.17.1-10.119.17.127 10.113.112.1-10.113.112.31 10.119.33.1-10.119.33.31 192.168.0.1-192.168.15.254 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.125.16-10.113.125.31 10.113.68.1-10.113.68.254 10.113.76.1-10.113.76.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3437 3459 3460 3433 3475 3896 3036 3889 3427 3887 3212 3155 3428 3156 3473 3103 3474 0 3419 3472 3471 3476 3108 3412 3422 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic1","10000","f0:92:1c:02:0f:3c","rce02-prod-eat1(TBM16084399)","10.129.255.4","Ethernet11/2","10.113.60.1-10.113.61.254 10.113.128.1-10.113.135.254 10.113.160.1-10.113.191.254 10.119.41.29-10.119.41.29 10.113.52.1-10.113.52.254 0.0.0.1-255.255.255.254 10.128.212.92-10.128.212.93 10.113.47.1-10.113.47.0 10.113.14.1-10.113.14.254 10.128.242.130-10.128.242.130 10.113.12.1-10.113.12.31 10.128.10.1-10.128.10.254 10.128.125.1-10.128.125.15 10.128.188.1-10.128.188.31 10.119.17.1-10.119.17.127 10.113.112.1-10.113.112.31 10.119.33.1-10.119.33.31 192.168.0.1-192.168.15.254 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.125.16-10.113.125.31 10.113.68.1-10.113.68.254 10.113.76.1-10.113.76.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3437 3459 3460 3475 3433 3887 3212 3036 3428 3889 3427 3896 3155 3156 3473 3103 3474 0 3419 3472 3471 3476 3108 3412 3422 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic2","10000","f0:92:1c:02:0f:39",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic3","10000","f0:92:1c:02:0f:3d",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic4","10000","f0:92:1c:02:0f:3a",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic5","10000","f0:92:1c:02:0f:3e",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic6",,"f0:92:1c:02:0f:3b",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-09.vmware.com","vmnic7",,"f0:92:1c:02:0f:3f",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic0","10000","f0:92:1c:0d:d5:80","rce02-prod-eat1(TBM16084399)","10.129.255.4","Ethernet11/1","10.113.128.1-10.113.135.254 10.113.160.1-10.113.191.254 10.119.17.1-10.119.17.127 10.113.52.1-10.113.52.254 10.113.60.1-10.113.61.254 10.119.41.29-10.119.41.29 10.113.47.1-10.113.47.0 10.128.242.130-10.128.242.130 10.113.12.1-10.113.12.31 0.0.0.1-255.255.255.254 10.128.212.92-10.128.212.93 10.128.125.1-10.128.125.15 10.113.14.1-10.113.14.254 10.128.188.1-10.128.188.31 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.119.33.1-10.119.33.31 192.168.0.1-192.168.15.254 10.119.6.1-10.119.6.15 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.113.125.16-10.113.125.31 10.119.49.1-10.119.49.127 10.113.76.1-10.113.76.254 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3459 3460 3473 3433 3437 3475 3036 3889 3427 3887 3212 3155 3428 3156 3896 3103 3474 0 3471 3419 3472 3108 3476 3422 3412 3461 3101 3163 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic1","10000","f0:92:1c:0d:d5:84","rce02-prod-eat1(TBM16084399)","10.129.255.4","Ethernet11/2","10.113.160.1-10.113.163.254 10.113.128.1-10.113.135.254 10.119.41.29-10.119.41.29 10.113.52.1-10.113.52.254 10.113.60.1-10.113.61.254 0.0.0.1-255.255.255.254 10.128.212.92-10.128.212.93 10.113.47.1-10.113.47.0 10.113.14.1-10.113.14.254 10.128.242.130-10.128.242.130 10.119.17.1-10.119.17.127 10.113.12.1-10.113.12.31 10.128.125.1-10.128.125.15 10.128.188.1-10.128.188.31 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.119.33.1-10.119.33.31 192.168.0.1-192.168.15.254 10.119.6.1-10.119.6.15 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.113.125.16-10.113.125.31 10.119.49.1-10.119.49.127 10.113.76.1-10.113.76.254 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3460 3459 3475 3433 3437 3887 3212 3036 3428 3889 3473 3427 3155 3156 3896 3103 3474 0 3471 3419 3472 3108 3476 3422 3412 3461 3101 3163 3161 3470 ","North America Remote Sites"
