"VCServer","Datacenter","Cluster","TimeStamp","MetricId","Value","Unit"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 6:30:00 AM","cpu.usage.average","12.5","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 6:00:00 AM","cpu.usage.average","14.23","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 5:30:00 AM","cpu.usage.average","12.35","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 5:00:00 AM","cpu.usage.average","11.18","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 4:30:00 AM","cpu.usage.average","11.64","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 4:00:00 AM","cpu.usage.average","15.19","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 3:30:00 AM","cpu.usage.average","14.08","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 3:00:00 AM","cpu.usage.average","12.67","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 2:30:00 AM","cpu.usage.average","24.09","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 2:00:00 AM","cpu.usage.average","35.91","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 1:30:00 AM","cpu.usage.average","35.81","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 1:00:00 AM","cpu.usage.average","32.87","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 12:30:00 AM","cpu.usage.average","12.15","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/3/2013 12:00:00 AM","cpu.usage.average","10.5","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 11:30:00 PM","cpu.usage.average","9.55","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 11:00:00 PM","cpu.usage.average","11.29","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 10:30:00 PM","cpu.usage.average","8.83","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 10:00:00 PM","cpu.usage.average","8.01","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 9:30:00 PM","cpu.usage.average","9.13","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 9:00:00 PM","cpu.usage.average","11.74","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 8:30:00 PM","cpu.usage.average","8.66","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 8:00:00 PM","cpu.usage.average","8.46","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 7:30:00 PM","cpu.usage.average","9.17","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 7:00:00 PM","cpu.usage.average","11.59","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 6:30:00 PM","cpu.usage.average","9.21","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 6:00:00 PM","cpu.usage.average","8.1","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 5:30:00 PM","cpu.usage.average","7.98","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 5:00:00 PM","cpu.usage.average","11.03","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 4:30:00 PM","cpu.usage.average","10.99","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 4:00:00 PM","cpu.usage.average","8.71","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 3:30:00 PM","cpu.usage.average","7.72","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 3:00:00 PM","cpu.usage.average","12.06","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 2:30:00 PM","cpu.usage.average","11.63","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 2:00:00 PM","cpu.usage.average","10.44","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 1:30:00 PM","cpu.usage.average","8.43","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 1:00:00 PM","cpu.usage.average","9.74","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 12:30:00 PM","cpu.usage.average","11.41","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 12:00:00 PM","cpu.usage.average","12.82","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 11:30:00 AM","cpu.usage.average","7.82","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 11:00:00 AM","cpu.usage.average","9.25","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 10:30:00 AM","cpu.usage.average","10.92","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 10:00:00 AM","cpu.usage.average","11.26","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 9:30:00 AM","cpu.usage.average","8.71","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 9:00:00 AM","cpu.usage.average","7.95","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 8:30:00 AM","cpu.usage.average","9.2","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 8:00:00 AM","cpu.usage.average","11.27","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 7:30:00 AM","cpu.usage.average","9.03","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 7:00:00 AM","cpu.usage.average","8.73","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 6:30:00 AM","cpu.usage.average","8.85","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 6:00:00 AM","cpu.usage.average","11.25","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 5:30:00 AM","cpu.usage.average","10.29","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 5:00:00 AM","cpu.usage.average","9.33","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 4:30:00 AM","cpu.usage.average","10.88","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 4:00:00 AM","cpu.usage.average","12.23","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 3:30:00 AM","cpu.usage.average","13.02","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 3:00:00 AM","cpu.usage.average","10.53","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 2:30:00 AM","cpu.usage.average","26.25","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 2:00:00 AM","cpu.usage.average","34.46","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 1:30:00 AM","cpu.usage.average","33.78","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 1:00:00 AM","cpu.usage.average","29.84","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 12:30:00 AM","cpu.usage.average","9.11","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/2/2013 12:00:00 AM","cpu.usage.average","9.18","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/1/2013 11:30:00 PM","cpu.usage.average","8.91","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/1/2013 11:00:00 PM","cpu.usage.average","11.15","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/1/2013 10:30:00 PM","cpu.usage.average","8.88","%"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-prod-vmg1","7/1/2013 10:00:00 PM","cpu.usage.average","7.82","%"
