"VCServer","Datacenter","Cluster","TimeStamp","MetricId","Value","Unit"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 7:00:00 PM","cpu.usage.average","3.73","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 6:30:00 PM","cpu.usage.average","3.63","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 6:00:00 PM","cpu.usage.average","3.65","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 5:30:00 PM","cpu.usage.average","3.64","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 5:00:00 PM","cpu.usage.average","3.74","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 4:30:00 PM","cpu.usage.average","3.62","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 4:00:00 PM","cpu.usage.average","3.64","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 3:30:00 PM","cpu.usage.average","3.63","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 3:00:00 PM","cpu.usage.average","3.74","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 2:30:00 PM","cpu.usage.average","3.73","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 2:00:00 PM","cpu.usage.average","3.68","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 1:30:00 PM","cpu.usage.average","4.75","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 1:00:00 PM","cpu.usage.average","5.48","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 12:30:00 PM","cpu.usage.average","3.82","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 12:00:00 PM","cpu.usage.average","3.67","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 11:30:00 AM","cpu.usage.average","3.64","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 11:00:00 AM","cpu.usage.average","3.73","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 10:30:00 AM","cpu.usage.average","3.6","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 10:00:00 AM","cpu.usage.average","3.65","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 9:30:00 AM","cpu.usage.average","3.6","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 9:00:00 AM","cpu.usage.average","3.71","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 8:30:00 AM","cpu.usage.average","3.59","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 8:00:00 AM","cpu.usage.average","3.64","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 7:30:00 AM","cpu.usage.average","3.66","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 7:00:00 AM","cpu.usage.average","3.72","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 6:30:00 AM","cpu.usage.average","3.66","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 6:00:00 AM","cpu.usage.average","3.72","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","3/17/2013 5:30:00 AM","cpu.usage.average","3.67","%"
