"VCServer","Datacenter","Cluster","Host","TimeStamp","MetricId","Value","Unit"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 7:00:00 PM","cpu.usage.average","21.3","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 6:30:00 PM","cpu.usage.average","21.25","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 6:00:00 PM","cpu.usage.average","20.49","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 5:30:00 PM","cpu.usage.average","21.05","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 5:00:00 PM","cpu.usage.average","20.87","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 4:30:00 PM","cpu.usage.average","21.03","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 4:00:00 PM","cpu.usage.average","21.6","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 3:30:00 PM","cpu.usage.average","20.74","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 3:00:00 PM","cpu.usage.average","22.34","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 2:30:00 PM","cpu.usage.average","21.37","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 2:00:00 PM","cpu.usage.average","20.53","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 1:30:00 PM","cpu.usage.average","21.2","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 1:00:00 PM","cpu.usage.average","20.89","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 12:30:00 PM","cpu.usage.average","22.16","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 12:00:00 PM","cpu.usage.average","21.25","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 11:30:00 AM","cpu.usage.average","21.47","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 11:00:00 AM","cpu.usage.average","20.93","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 10:30:00 AM","cpu.usage.average","21.45","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 10:00:00 AM","cpu.usage.average","21.31","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 9:30:00 AM","cpu.usage.average","21.14","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 9:00:00 AM","cpu.usage.average","21.78","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 8:30:00 AM","cpu.usage.average","21.29","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 8:00:00 AM","cpu.usage.average","21.89","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 7:30:00 AM","cpu.usage.average","21.44","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 7:00:00 AM","cpu.usage.average","20.88","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 6:30:00 AM","cpu.usage.average","20.85","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 6:00:00 AM","cpu.usage.average","21.2","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 5:30:00 AM","cpu.usage.average","20.67","%"
"sc9-srm-vc-1.vmware.com","SantaClara","sc9-mail-vmg1","sc9-mail-vmg1-10.vmware.com","3/16/2013 5:00:00 AM","cpu.usage.average","20.9","%"
