"VCServer","Datacenter","Cluster","TimeStamp","MetricId","Value","Unit"
,"vCloudCompute01","vf-dev2","3/17/2013 8:00:00 PM","cpu.usage.average","3.45","%"
,"vCloudCompute01","vf-dev2","3/17/2013 7:30:00 PM","cpu.usage.average","3.4","%"
,"vCloudCompute01","vf-dev2","3/17/2013 7:00:00 PM","cpu.usage.average","3.44","%"
,"vCloudCompute01","vf-dev2","3/17/2013 6:30:00 PM","cpu.usage.average","3.4","%"
,"vCloudCompute01","vf-dev2","3/17/2013 6:00:00 PM","cpu.usage.average","3.46","%"
,"vCloudCompute01","vf-dev2","3/17/2013 5:30:00 PM","cpu.usage.average","3.4","%"
,"vCloudCompute01","vf-dev2","3/17/2013 5:00:00 PM","cpu.usage.average","3.45","%"
,"vCloudCompute01","vf-dev2","3/17/2013 4:30:00 PM","cpu.usage.average","3.41","%"
,"vCloudCompute01","vf-dev2","3/17/2013 4:00:00 PM","cpu.usage.average","3.44","%"
,"vCloudCompute01","vf-dev2","3/17/2013 3:30:00 PM","cpu.usage.average","3.4","%"
,"vCloudCompute01","vf-dev2","3/17/2013 3:00:00 PM","cpu.usage.average","3.45","%"
,"vCloudCompute01","vf-dev2","3/17/2013 2:30:00 PM","cpu.usage.average","3.42","%"
,"vCloudCompute01","vf-dev2","3/17/2013 2:00:00 PM","cpu.usage.average","3.46","%"
,"vCloudCompute01","vf-dev2","3/17/2013 1:30:00 PM","cpu.usage.average","3.4","%"
,"vCloudCompute01","vf-dev2","3/17/2013 1:00:00 PM","cpu.usage.average","3.45","%"
,"vCloudCompute01","vf-dev2","3/17/2013 12:30:00 PM","cpu.usage.average","3.4","%"
,"vCloudCompute01","vf-dev2","3/17/2013 12:00:00 PM","cpu.usage.average","3.45","%"
,"vCloudCompute01","vf-dev2","3/17/2013 11:30:00 AM","cpu.usage.average","3.46","%"
,"vCloudCompute01","vf-dev2","3/17/2013 11:00:00 AM","cpu.usage.average","3.54","%"
,"vCloudCompute01","vf-dev2","3/17/2013 10:30:00 AM","cpu.usage.average","3.48","%"
,"vCloudCompute01","vf-dev2","3/17/2013 10:00:00 AM","cpu.usage.average","3.53","%"
,"vCloudCompute01","vf-dev2","3/17/2013 9:30:00 AM","cpu.usage.average","3.82","%"
,"vCloudCompute01","vf-dev2","3/17/2013 9:00:00 AM","cpu.usage.average","3.83","%"
,"vCloudCompute01","vf-dev2","3/17/2013 8:30:00 AM","cpu.usage.average","3.46","%"
,"vCloudCompute01","vf-dev2","3/17/2013 8:00:00 AM","cpu.usage.average","3.65","%"
,"vCloudCompute01","vf-dev2","3/17/2013 7:30:00 AM","cpu.usage.average","3.76","%"
,"vCloudCompute01","vf-dev2","3/17/2013 7:00:00 AM","cpu.usage.average","3.83","%"
,"vCloudCompute01","vf-dev2","3/17/2013 6:30:00 AM","cpu.usage.average","3.6","%"
,"vCloudCompute01","vf-dev2","3/17/2013 6:00:00 AM","cpu.usage.average","3.52","%"
,"vCloudCompute01","vf-dev2","3/17/2013 5:30:00 AM","cpu.usage.average","3.41","%"
,"vCloudCompute01","vf-dev2","3/17/2013 5:00:00 AM","cpu.usage.average","3.6","%"
,"vCloudCompute01","vf-dev2","3/17/2013 4:30:00 AM","cpu.usage.average","3.56","%"
,"vCloudCompute01","vf-dev2","3/17/2013 4:00:00 AM","cpu.usage.average","4.26","%"
,"vCloudCompute01","vf-dev2","3/17/2013 3:30:00 AM","cpu.usage.average","3.42","%"
,"vCloudCompute01","vf-dev2","3/17/2013 3:00:00 AM","cpu.usage.average","3.49","%"
,"vCloudCompute01","vf-dev2","3/17/2013 2:30:00 AM","cpu.usage.average","3.42","%"
,"vCloudCompute01","vf-dev2","3/17/2013 2:00:00 AM","cpu.usage.average","3.48","%"
,"vCloudCompute01","vf-dev2","3/17/2013 1:30:00 AM","cpu.usage.average","3.43","%"
,"vCloudCompute01","vf-dev2","3/17/2013 1:00:00 AM","cpu.usage.average","3.49","%"
,"vCloudCompute01","vf-dev2","3/17/2013 12:30:00 AM","cpu.usage.average","3.43","%"
,"vCloudCompute01","vf-dev2","3/17/2013 12:00:00 AM","cpu.usage.average","3.52","%"
,"vCloudCompute01","vf-dev2","3/16/2013 11:30:00 PM","cpu.usage.average","3.44","%"
,"vCloudCompute01","vf-dev2","3/16/2013 11:00:00 PM","cpu.usage.average","3.45","%"
