"VCServer","Datacenter","Cluster","Host","TimeStamp","MetricId","Value","Unit"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 7:00:00 PM","cpu.usage.average","3.44","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 6:30:00 PM","cpu.usage.average","3.35","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 6:00:00 PM","cpu.usage.average","3.39","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 5:30:00 PM","cpu.usage.average","3.35","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 5:00:00 PM","cpu.usage.average","3.5","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 4:30:00 PM","cpu.usage.average","3.33","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 4:00:00 PM","cpu.usage.average","3.36","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 3:30:00 PM","cpu.usage.average","3.34","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 3:00:00 PM","cpu.usage.average","3.41","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 2:30:00 PM","cpu.usage.average","3.48","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 2:00:00 PM","cpu.usage.average","3.42","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 1:30:00 PM","cpu.usage.average","5.38","%"
"vf-view-vc.vmware.com","vCloudView","vf-view1","sc9-vf-view1-02.vmware.com","3/17/2013 1:00:00 PM","cpu.usage.average","5.49","%"
