"timestamp","vmhost","hba","status","model","driver","pci","wwnn","wwpn"
"2013-07-24 06:42:00","wdc-lt-rac-02.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.0","50:01:43:80:24:2b:c5:2d","50:01:43:80:24:2b:c5:2c"
"2013-07-24 06:42:00","wdc-lt-rac-02.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.1","50:01:43:80:24:2b:c5:2f","50:01:43:80:24:2b:c5:2e"
"2013-07-24 06:42:00","wdc-lt-rac-02.vmware.com","vmhba2","unknown","Smart Array P220i","hpsa","22:00.0",,
"2013-07-24 06:42:00","wdc-lt-rac-03.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.0","50:01:43:80:24:2b:c4:7d","50:01:43:80:24:2b:c4:7c"
"2013-07-24 06:42:00","wdc-lt-rac-03.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.1","50:01:43:80:24:2b:c4:7f","50:01:43:80:24:2b:c4:7e"
"2013-07-24 06:42:00","wdc-lt-rac-03.vmware.com","vmhba2","unknown","Smart Array P220i","hpsa","22:00.0",,
"2013-07-24 06:42:00","wdc-lt-rac-04.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.0","50:01:43:80:24:2b:96:ad","50:01:43:80:24:2b:96:ac"
"2013-07-24 06:42:00","wdc-lt-rac-04.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.1","50:01:43:80:24:2b:96:af","50:01:43:80:24:2b:96:ae"
"2013-07-24 06:42:00","wdc-lt-rac-04.vmware.com","vmhba2","unknown","Smart Array P220i","hpsa","22:00.0",,
"2013-07-24 06:42:00","wdc-lt-rac-05.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.0","50:01:43:80:24:2b:98:71","50:01:43:80:24:2b:98:70"
"2013-07-24 06:42:00","wdc-lt-rac-05.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qla2xxx","06:00.1","50:01:43:80:24:2b:98:73","50:01:43:80:24:2b:98:72"
