"timestamp","vmhost","hba","status","model","driver","pci","wwnn","wwpn"
"2014-07-27 22:37:12","wdc-mail-dr1-1.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:07:2b:8b:0d","50:01:43:80:07:2b:8b:0c"
"2014-07-27 22:37:12","wdc-mail-dr1-1.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:07:2b:8b:0f","50:01:43:80:07:2b:8b:0e"
"2014-07-27 22:37:12","wdc-mail-dr1-1.vmware.com","vmhba2","unknown","Smart Array P410i","hpsa","0c:00.0",,
"2014-07-27 22:37:12","wdc-mail-dr1-7.vmware.com","vmhba0","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-7.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:16:78:f9:91","50:01:43:80:16:78:f9:90"
"2014-07-27 22:37:12","wdc-mail-dr1-7.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:16:78:f9:93","50:01:43:80:16:78:f9:92"
"2014-07-27 22:37:12","wdc-mail-dr1-7.vmware.com","vmhba32","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-8.vmware.com","vmhba0","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-8.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:16:79:6c:a5","50:01:43:80:16:79:6c:a4"
"2014-07-27 22:37:12","wdc-mail-dr1-8.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:16:79:6c:a7","50:01:43:80:16:79:6c:a6"
"2014-07-27 22:37:12","wdc-mail-dr1-8.vmware.com","vmhba32","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-9.vmware.com","vmhba0","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-9.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:16:78:f9:d1","50:01:43:80:16:78:f9:d0"
"2014-07-27 22:37:12","wdc-mail-dr1-9.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:16:78:f9:d3","50:01:43:80:16:78:f9:d2"
"2014-07-27 22:37:12","wdc-mail-dr1-9.vmware.com","vmhba32","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-10.vmware.com","vmhba0","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-10.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:16:7a:63:81","50:01:43:80:16:7a:63:80"
"2014-07-27 22:37:12","wdc-mail-dr1-10.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:16:7a:63:83","50:01:43:80:16:7a:63:82"
"2014-07-27 22:37:12","wdc-mail-dr1-10.vmware.com","vmhba32","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-11.vmware.com","vmhba0","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-11.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:16:79:0f:61","50:01:43:80:16:79:0f:60"
"2014-07-27 22:37:12","wdc-mail-dr1-11.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:16:79:0f:63","50:01:43:80:16:79:0f:62"
"2014-07-27 22:37:12","wdc-mail-dr1-11.vmware.com","vmhba32","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-12.vmware.com","vmhba0","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-12.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:16:79:0b:41","50:01:43:80:16:79:0b:40"
"2014-07-27 22:37:12","wdc-mail-dr1-12.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:16:79:0b:43","50:01:43:80:16:79:0b:42"
"2014-07-27 22:37:12","wdc-mail-dr1-12.vmware.com","vmhba32","unknown","ICH10 4 port SATA IDE Controller","ata_piix","00:1f.2",,
"2014-07-27 22:37:12","wdc-mail-dr1-2.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:07:2b:71:65","50:01:43:80:07:2b:71:64"
"2014-07-27 22:37:12","wdc-mail-dr1-2.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:07:2b:71:67","50:01:43:80:07:2b:71:66"
"2014-07-27 22:37:12","wdc-mail-dr1-2.vmware.com","vmhba2","unknown","Smart Array P410i","hpsa","0c:00.0",,
"2014-07-27 22:37:12","wdc-mail-dr1-3.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:07:2b:6b:d5","50:01:43:80:07:2b:6b:d4"
"2014-07-27 22:37:12","wdc-mail-dr1-3.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:07:2b:6b:d7","50:01:43:80:07:2b:6b:d6"
"2014-07-27 22:37:12","wdc-mail-dr1-3.vmware.com","vmhba2","unknown","Smart Array P410i","hpsa","0c:00.0",,
"2014-07-27 22:37:12","wdc-mail-dr1-4.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:09:aa:ae:4d","50:01:43:80:09:aa:ae:4c"
"2014-07-27 22:37:12","wdc-mail-dr1-4.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:09:aa:ae:4f","50:01:43:80:09:aa:ae:4e"
"2014-07-27 22:37:12","wdc-mail-dr1-4.vmware.com","vmhba2","unknown","Smart Array P410i","hpsa","0c:00.0",,
"2014-07-27 22:37:12","wdc-mail-dr1-5.vmware.com","vmhba0","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.0","50:01:43:80:07:2b:73:39","50:01:43:80:07:2b:73:38"
"2014-07-27 22:37:12","wdc-mail-dr1-5.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","09:00.1","50:01:43:80:07:2b:73:3b","50:01:43:80:07:2b:73:3a"
"2014-07-27 22:37:12","wdc-mail-dr1-5.vmware.com","vmhba2","unknown","Smart Array P410i","hpsa","0c:00.0",,
"2014-07-27 22:37:12","wdc-mail2-dr1-1.vmware.com","vmhba0","unknown","MegaRAID SAS SKINNY Controller","megaraid_sas","01:00.0",,
"2014-07-27 22:37:12","wdc-mail2-dr1-1.vmware.com","vmhba1","online","Cisco VIC FCoE HBA Driver","fnic","0a:00.0","20:00:00:25:b5:10:01:6e","20:00:00:25:b5:10:a0:ee"
"2014-07-27 22:37:12","wdc-mail2-dr1-1.vmware.com","vmhba2","online","Cisco VIC FCoE HBA Driver","fnic","89:00.0","20:00:00:25:b5:10:01:6e","20:00:00:25:b5:10:b3:de"
"2014-07-27 22:37:12","wdc-mail2-dr1-2.vmware.com","vmhba0","unknown","MegaRAID SAS SKINNY Controller","megaraid_sas","01:00.0",,
"2014-07-27 22:37:12","wdc-mail2-dr1-2.vmware.com","vmhba1","online","Cisco VIC FCoE HBA Driver","fnic","0a:00.0","20:00:00:25:b5:10:01:7e","20:00:00:25:b5:10:a0:be"
"2014-07-27 22:37:12","wdc-mail2-dr1-2.vmware.com","vmhba2","online","Cisco VIC FCoE HBA Driver","fnic","89:00.0","20:00:00:25:b5:10:01:7e","20:00:00:25:b5:10:b3:be"
"2014-07-27 22:37:12","wdc-mail-dr3-01.vmware.com","vmhba0","unknown","MegaRAID SAS SKINNY Controller","megaraid_sas","01:00.0",,
"2014-07-27 22:37:12","wdc-mail-dr3-01.vmware.com","vmhba1","online","Cisco VIC FCoE HBA Driver","fnic","0a:00.0","20:00:00:25:b5:10:00:0e","20:00:00:25:b5:10:a0:6e"
